full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost
Marc Albrighton,0,3,38,857,11,287.9,190.6,102,58.1,3,51
Marco Stiepermann,0,0,32,1173,32,188.1,120.2,277,58.5,1,50
Marcos Alonso,4,4,100,1429,18,413.4,411.8,420,124.3,7,61
Marcus Rashford,17,8,177,2645,29,563.7,887,1265,271.7,9,89
Mario Vrancic,1,0,29,624,19,107.9,123,123,35.4,0,62
Mark Noble,4,4,105,2675,44,602.2,542.2,164,131.1,7,49
Mart�n Montoya,0,1,62,1892,32,338,337.4,177,85.5,6,43
Martin Dubravka,0,0,143,3420,58,0,1019,0,102,11,51
Martin Kelly,0,1,64,1547,16,96.5,305.4,15,41.7,6,41
Marvelous Nakamba,0,0,43,1826,37,162.9,292.2,24,47.9,1,44
Mason Greenwood,10,1,103,1303,13,222.7,449.6,502,117,6,48
Mason Holgate,0,4,71,2052,34,63.9,465.4,152,68.3,5,42
Mason Mount,7,6,137,2865,44,814,641.2,974,242.8,9,60
Matej Vydra,2,1,39,807,7,113.3,144.2,273,53.3,5,51
Mateo Kovacic,1,3,68,2065,37,458.5,497,186,114,4,53
Mathew Ryan,0,0,135,3420,54,0,1000,0,100.1,9,47
Matt Doherty,4,8,167,2836,31,340.5,576.2,681,160,12,65
Matt Ritchie,2,1,74,1312,19,482.7,285.4,218,98.6,8,53
Matt Targett,1,3,80,2291,40,432.9,503.8,130,106.9,5,43
Matteo Guendouzi,0,2,48,1744,31,235.1,333.6,146,71.6,3,41
Matthew Longstaff,2,0,27,572,11,51.6,102.8,49,20.4,1,45
Matthew Lowton,0,1,48,1530,31,181.7,294.2,15,49.2,6,42
Max Meyer,0,0,23,645,11,68.9,68,103,23.8,1,52
Maximillian Aarons,0,2,66,3240,71,385.2,566.6,237,119,5,42
Maya Yoshida,0,0,10,558,18,3.7,96.8,77,17.7,1,41
Mbwana Samatta,1,0,29,940,18,131.5,67.6,245,44.2,4,51
Mesut �zil,1,3,53,1439,20,582.9,223.6,190,99.8,5,69
Michael Keane,2,0,90,2556,42,80,666.4,204,95.2,7,52
Michael Obafemi,3,2,45,655,12,130.7,170.8,235,53.4,3,49
Michail Antonio,10,4,111,1767,30,377.4,552.8,1094,201.7,3,71
Miguel Almir�n,4,2,109,3020,48,450.2,481.6,750,168,12,58
Mohamed Salah,19,10,233,2879,26,834.8,1061.2,2156,405.1,16,125
Moise Kean,2,2,53,830,15,136.5,153.6,429,71.1,1,63
Morgan Schneiderlin,0,0,18,998,20,78.5,143.2,32,25.5,1,44
Moritz Leitner,0,0,16,683,16,127.7,106.8,53,28.8,1,43
Moussa Djenepo,2,2,40,920,14,153.4,224.4,252,62.9,2,52
Moussa Sissoko,2,1,69,2451,31,275.7,346,189,81,7,48
Nabil Bentaleb,0,0,19,747,16,101,104.6,20,22.5,2,47
Naby Keita,2,3,52,806,8,234.7,281.8,169,68.7,5,58
Nathan Ak�,2,2,79,2503,46,92.7,691.2,326,111,4,48
Nathan Redmond,4,4,107,2763,51,539.1,517.2,752,181.2,7,62
Nathaniel Chalobah,0,1,36,919,14,130.3,162.2,55,34.5,2,44
Neal Maupay,10,3,131,2763,36,369.2,518.6,1519,240.5,8,57
Neil Taylor,0,0,22,1088,25,79.7,157.6,29,26.7,2,42
Nemanja Matic,0,2,55,1578,13,250.3,357.4,53,66.2,10,48
N'Golo Kant�,3,0,57,1730,25,424.5,422.8,214,106.3,3,50
Nick Pope,0,0,170,3420,50,30.3,900,2,93.1,15,52
Nicolas P�p�,5,6,106,2004,30,639.4,500.2,624,176.5,5,89
Nicol�s Otamendi,2,1,82,1710,21,65.5,443.6,319,82.7,7,48
Oleksandr Zinchenko,0,0,49,1271,15,375.8,232,102,71.2,6,52
Oliver McBurnie,6,1,86,2105,25,186.9,424.4,830,143.7,9,55
Oliver Norwood,1,3,98,3089,36,808.8,608.4,100,151.8,13,47
Olivier Giroud,8,1,68,988,16,144.8,316.2,598,105.4,6,67
Ondrej Duda,0,1,24,723,9,261.6,115.8,105,48.3,3,44
Onel Hern�ndez,1,2,52,1374,32,235.5,227.2,445,90.5,1,53
Oriol Romeu Vidal,0,0,51,1855,38,272.9,333.2,69,67.6,5,43
Pablo Fornals,2,6,93,2167,35,359.7,350.4,381,109.2,6,60
Pablo Zabaleta,0,0,10,588,14,50.5,110.4,12,17.4,0,41
Pascal Gro�,2,5,76,1791,32,908.5,388.2,323,161.6,3,62
Patrick van Aanholt,3,2,109,2507,38,516,531.2,285,133.4,8,56
Paul Dummett,0,0,44,1227,20,63.1,265.2,50,37.7,5,43
Paul Pogba,1,4,51,1202,9,420,295.8,193,91,6,83
Paulo Gazzaniga,0,0,58,1612,26,10,449.8,0,46.1,2,41
Pedro Lomba Neto,3,3,57,920,12,232,227.8,260,71.8,1,49
Pedro Rodr�guez Ledesma,1,2,32,659,12,227.1,161.4,349,73.8,2,68
Phil Bardsley,0,2,78,1890,19,164,350.6,109,62.5,9,44
Phil Foden,5,2,69,888,7,301.6,312.2,466,108.1,4,55
Philip Billing,1,1,68,2526,41,239.8,545.4,342,112.9,5,49
Pierre-Emerick Aubameyang,22,5,205,3136,44,479.6,1006,1369,285.2,10,109
Pierre-Emile H�jbjerg,0,3,75,2750,51,469,493,368,133.1,7,48
Raheem Sterling,20,6,204,2651,31,751.3,921.6,1829,350.2,13,120
Ra�l Jim�nez,17,7,194,3241,36,668.2,911.6,1680,325.4,15,80
