full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,element_type
Oriol Romeu Vidal,1,1,52,1762,25,229.1,349.2,98.0,67.6,6,45,3
Ozan Kabak,0,0,26,801,9,17.2,131.0,19.0,16.7,3,50,2
Pablo Fornals,5,7,125,2571,33,441.3,491.8,631.0,156.5,9,58,3
Pablo Hernández Domínguez,0,3,28,414,6,97.9,84.0,153.0,33.4,1,57,3
Pablo Marí,0,0,34,900,8,26.4,163.2,16.0,20.6,4,44,2
Pascal Groß,3,8,116,2479,28,1087.8,620.4,415.0,212.3,10,58,3
Pascal Struijk,1,0,71,2072,32,66.3,513.0,222.0,80.1,7,40,2
Patrick Bamford,17,11,194,3052,50,371.0,867.2,1512.0,274.6,10,66,4
Patrick van Aanholt,0,2,54,1775,36,195.3,298.6,198.0,69.1,4,54,2
Paul Dummett,1,0,40,1254,20,68.1,274.4,45.0,38.8,3,44,2
Paul Pogba,3,6,92,1892,26,376.0,451.4,401.0,122.5,5,76,3
Pedro Lomba Neto,5,8,124,2549,38,1007.3,594.2,722.0,232.5,9,55,3
Phil Foden,9,8,135,1607,16,545.8,580.8,734.0,186.0,6,61,3
Phil Jagielka,0,0,5,524,12,1.9,70.6,2.0,7.5,0,39,2
Pierre-Emerick Aubameyang,10,3,131,2330,26,361.5,493.8,823.0,167.4,10,113,3
Pierre-Emile Højbjerg,2,4,107,3420,45,308.7,728.8,146.0,118.4,12,49,3
Raheem Sterling,10,9,154,2534,23,584.1,663.4,1366.0,260.3,14,109,3
Raphael Dias Belloli,6,10,133,2358,34,889.3,719.6,902.0,251.3,9,56,3
Rayan Ait Nouri,1,1,54,1400,23,234.5,243.2,196.0,67.4,3,50,2
Raúl Jiménez,4,1,43,824,10,96.2,177.4,275.0,55.0,4,81,4
Reece James,1,3,112,2367,29,697.3,527.4,399.0,162.8,9,51,2
Rhian Brewster,0,0,34,1113,16,157.2,66.8,255.0,47.3,2,42,4
Rhys Williams,0,0,28,659,6,29.8,111.6,62.0,20.4,3,40,2
Ricardo Domingos Barbosa Pereira,0,1,27,954,19,162.4,183.4,144.0,48.9,2,59,2
Richarlison de Andrade,7,6,123,2862,38,359.7,576.4,1147.0,208.3,11,77,4
Riyad Mahrez,9,8,145,1945,22,693.6,606.0,893.0,219.1,11,81,3
Rob Holding,0,1,105,2557,26,76.1,602.6,97.0,77.7,11,43,2
Robbie Brady,1,1,44,1047,6,133.9,174.2,168.0,47.2,7,50,3
Robert Snodgrass,0,0,14,528,14,56.0,76.4,75.0,20.7,0,56,3
Robert Sánchez,0,0,101,2430,27,10.0,542.2,4.0,55.8,10,45,1
Roberto Firmino,9,8,141,2837,39,643.2,729.4,1415.0,278.8,10,91,4
Robin Koch,0,0,38,1130,21,52.2,230.2,131.0,41.4,4,43,2
Robin Olsen,0,0,25,630,9,0.0,166.4,0.0,16.7,2,45,1
Rodrigo Hernandez,2,2,91,2747,27,546.3,640.6,335.0,152.4,13,53,3
Rodrigo Moreno,7,4,89,1279,21,409.7,398.4,617.0,142.4,3,57,4
Romain Saïss,3,0,99,2407,40,101.2,584.6,347.0,103.4,8,49,2
Romaine Sawyers,0,0,33,1486,42,102.4,152.4,13.0,26.7,1,46,3
Ross Barkley,3,2,76,1566,24,579.3,274.2,431.0,128.6,8,58,3
Ruben Loftus-Cheek,1,0,66,1962,22,274.2,201.6,439.0,91.4,11,59,3
Rui Pedro dos Santos Patrício,0,0,132,3330,51,0.0,763.6,0.0,76.1,10,53,1
Ryan Bertrand,0,2,78,2598,51,271.8,306.8,135.0,71.4,8,50,2
Ryan Fraser,0,4,39,922,18,395.0,142.8,165.0,70.1,4,56,3
Ryan Fredericks,1,1,28,564,9,166.8,155.2,96.0,41.9,1,42,2
Rúben Diogo da Silva Neves,5,1,104,2670,42,455.0,697.2,445.0,159.9,8,51,3
Rúben Santos Gato Alves Dias,1,1,142,2843,21,91.0,651.6,218.0,96.3,17,59,2
Sadio Mané,11,11,176,2808,28,809.7,808.8,1535.0,315.5,12,118,3
Sam Johnstone,0,1,140,3330,74,10.0,1213.6,0.0,122.4,6,46,1
Sander Berge,1,1,31,1119,23,181.7,178.0,138.0,49.8,0,49,3
Saïd Benrahma,1,6,73,1376,19,371.9,301.0,371.0,104.6,3,59,3
Scott Dann,1,1,39,1350,24,17.0,284.6,99.0,40.3,2,42,2
Scott McTominay,4,2,91,2124,25,270.5,523.2,314.0,110.9,9,49,3
Seamus Coleman,0,3,81,1607,19,268.2,322.6,189.0,78.0,8,49,2
Sean Longstaff,0,1,41,1405,26,182.8,179.2,148.0,50.8,2,46,3
Serge Aurier,2,3,80,1605,22,267.6,412.2,194.0,87.4,6,52,2
Sergio Agüero,4,1,38,554,4,102.2,200.6,326.0,62.2,4,103,4
Sergio Reguilón,0,6,89,2244,31,309.4,361.2,253.0,92.5,8,55,2
Solomon March,2,2,69,1670,25,414.3,368.6,322.0,110.5,7,49,3
Steven Alzate,1,0,35,892,17,154.9,132.2,88.0,37.6,5,41,3
Steven Bergwijn,1,4,55,1202,15,190.9,161.4,180.0,52.8,5,70,3
Stuart Armstrong,4,7,115,2764,56,496.7,541.2,457.0,149.4,8,55,3
Stuart Dallas,8,3,171,3410,53,454.6,756.8,527.0,174.2,12,55,2
Sébastien Haller,3,0,41,932,12,131.6,169.6,361.0,66.2,3,61,4
Takumi Minamino,3,0,48,999,18,92.3,168.2,281.0,54.0,2,60,3
Tammy Abraham,6,2,69,1031,12,121.6,277.2,483.0,86.6,5,71,4
Tanguy Ndombele,3,3,99,2086,24,270.8,408.0,281.0,96.2,12,59,3
Tariq Lamptey,1,3,35,887,15,162.9,147.8,156.0,46.7,2,46,2
Theo Walcott,3,4,76,1629,28,248.0,269.8,366.0,88.0,5,58,3
Thiago Alcántara do Nascimento,1,0,55,1851,18,460.3,378.8,178.0,101.9,8,55,3
Thiago Thiago,2,0,92,1935,25,84.9,537.8,223.0,84.5,10,56,2
Thomas Partey,0,2,47,1529,18,195.7,289.4,129.0,61.7,6,49,3
Tim Ream,0,0,10,630,13,8.1,133.6,2.0,14.5,0,42,2
Timo Werner,6,12,128,2598,29,532.4,514.8,1276.0,232.5,13,92,4
Timothy Castagne,2,4,94,2345,37,350.2,486.6,181.0,101.7,6,58,2
Toby Alderweireld,1,0,88,2240,25,106.5,559.8,178.0,84.6,10,54,2
Tom Cairney,1,1,27,758,15,278.3,170.6,124.0,57.3,1,52,3
Tom Davies,0,1,47,1417,23,112.0,205.6,30.0,34.7,5,52,3
Tomas Soucek,10,2,147,3420,47,271.1,889.8,925.0,208.8,11,52,3
Tosin Adarabioyo,0,1,100,2953,41,70.1,673.8,223.0,97.1,9,45,2
Trent Alexander-Arnold,2,8,160,3029,40,1238.8,789.6,529.0,255.7,10,78,2
Tyler Roberts,1,2,49,1330,19,239.0,189.4,296.0,72.5,4,46,3
Tyrick Mitchell,1,2,58,1710,32,76.8,387.6,60.0,52.5,4,38,2
Tyrone Mings,2,2,128,3194,42,97.3,798.4,293.0,119.3,14,54,2
Vicente Guaita,0,0,124,3330,64,0.0,819.4,0.0,82.2,8,48,1
Victor Lindelöf,1,1,102,2585,30,102.6,503.0,56.0,66.4,10,48,2
Virgil van Dijk,1,0,15,370,11,4.8,82.4,66.0,15.3,1,62,2
Vitor Ferreira,0,1,26,509,8,179.0,80.0,72.0,33.3,0,47,3
Vladimir Coufal,0,9,128,3054,43,670.9,693.8,220.0,158.7,9,48,2
Wesley Fofana,0,1,71,2260,30,107.8,502.0,121.0,73.4,7,50,2
Wilfred Ndidi,1,4,79,2175,31,234.5,549.2,78.0,86.2,7,48,3
Wilfried Zaha,11,4,136,2612,52,428.5,572.6,1003.0,200.4,6,71,3
Willian Borges Da Silva,1,7,78,1398,17,534.8,256.2,228.0,102.3,3,75,3
Willian José Da Silva,1,1,40,1106,13,165.9,89.6,256.0,50.9,5,68,4
Willy Boly,1,1,68,1879,29,46.1,414.0,182.0,64.2,6,54,2
Xherdan Shaqiri,0,2,26,548,7,294.2,95.2,86.0,47.6,2,64,3
Yerry Mina,2,0,79,1936,22,23.5,496.2,200.0,72.3,6,55,2
Youri Tielemans,6,4,133,3356,50,788.2,840.4,462.0,209.1,11,64,3
Yves Bissouma,1,0,77,3112,42,295.5,523.6,196.0,101.1,11,44,3
Çaglar Söyüncü,1,0,59,1816,30,114.4,403.6,157.0,67.7,5,53,2
