full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,element_type
Christian Pulisic,4,3,82,1731,21,378.8,361.4,724.0,146.2,7,83,3
Ciaran Clark,1,0,46,1890,35,29.8,402.6,105.0,53.9,3,45,2
Conor Coady,1,0,106,3303,51,40.1,692.2,85.0,82.0,10,49,2
Conor Gallagher,2,2,71,2530,48,320.1,437.2,276.0,103.2,5,55,3
Conor Townsend,0,2,76,2234,36,343.8,440.2,154.0,93.7,6,44,2
Craig Dawson,3,0,75,1925,25,30.2,433.6,219.0,68.4,7,45,2
Curtis Jones,1,2,50,1169,14,233.4,224.6,289.0,74.8,5,44,3
Cédric Soares,0,1,28,744,11,114.8,110.8,66.0,29.2,2,46,2
César Azpilicueta,1,2,113,2187,20,413.3,502.2,164.0,107.9,13,58,2
Dan Burn,1,0,64,2057,28,183.1,389.0,214.0,78.2,6,42,2
Daniel Amartey,1,0,19,718,12,10.9,155.0,61.0,22.7,0,39,2
Daniel Castelo Podence,3,2,75,1661,24,322.0,285.6,456.0,106.2,8,53,3
Daniel Ceballos Fernández,0,4,62,1609,17,422.3,359.8,141.0,92.4,6,47,3
Daniel James,3,1,43,907,7,145.7,186.0,285.0,61.5,4,62,3
Danny Ings,12,4,131,2172,40,300.7,634.6,866.0,178.4,6,84,4
Danny Welbeck,6,4,89,1541,18,269.7,319.8,595.0,117.7,6,55,4
Dara O'Shea,0,0,41,2099,51,71.2,439.8,44.0,55.8,3,42,2
Darnell Furlong,1,3,79,2931,63,275.0,474.4,276.0,102.7,6,45,2
David Luiz Moreira Marinho,1,0,41,1396,20,46.7,250.6,144.0,43.9,3,54,2
David McGoldrick,8,1,100,2391,37,320.2,464.4,860.0,164.6,9,52,4
David de Gea,0,0,91,2295,32,0.0,464.2,0.0,46.4,9,53,1
Davinson Sánchez,0,0,43,1486,22,20.0,319.2,114.0,45.5,4,52,2
DeAndre Yedlin,0,0,13,435,6,41.8,58.6,20.0,12.0,1,43,2
Dean Henderson,0,0,44,1125,12,0.0,275.4,0.0,27.5,4,52,1
Declan Rice,2,1,86,2880,37,343.8,561.2,303.0,121.3,11,47,3
Dennis Praet,1,2,37,714,11,132.1,119.2,120.0,36.9,3,52,3
Diego Llorente,1,0,50,1203,12,51.0,293.0,115.0,46.0,4,44,2
