,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat
506,Eric Dier,93264,18,2,50,9,4.5,180,1,0,3,0,66,0.4,37
370,Erling Haaland,223094,13,4,117,18,9,150,2,1,0,2,80.8,18.1,96
43,Ezri Konsa Ngoyo,199798,2,2,45,2,1,91,0,0,2,0,20.8,1.3,0
426,Fabian Schär,119471,15,2,46,20,10,180,1,0,0,2,86.6,15.3,25
329,Fabio Henrique Tavares,116643,12,3,55,3,1.5,148,0,0,2,0,29.6,22.8,4
385,Frederico Rodrigues de Paula Santos,101582,14,3,54,2,1,97,0,0,6,0,4.8,7.3,5
14,Gabriel dos Santos Magalhães,226597,1,2,50,8,4,180,0,0,2,1,37.4,2.4,8
26,Gabriel Fernando de Jesus,205651,1,4,81,21,10.5,165,2,2,2,1,106,36.9,143
17,Gabriel Martinelli Silva,444145,1,3,63,16,8,180,2,0,2,1,80.6,67,54
496,Gavin Bazunu,456350,17,1,45,3,1.5,180,0,0,6,0,61,0,0
553,Gianluca Scamacca,195899,19,4,70,2,1,54,0,0,1,0,0,1.8,16
586,Gonçalo Manuel Ganchinho Guedes,181284,20,3,60,1,1,32,0,0,0,0,0,1.2,0
1,Granit Xhaka,84450,1,3,50,14,7,180,1,1,2,1,71.4,40.5,30
244,Harrison Reed,153366,9,3,45,4,2,180,0,0,2,1,28.2,38.3,22
503,Harry Kane,78830,18,4,114,10,5,180,1,0,3,0,54.2,55.3,78
384,Harry Maguire,95658,14,2,49,-1,-0.5,180,0,0,6,0,42.2,15.5,34
465,Harry Toffolo,114241,16,2,45,8,4,180,0,0,2,1,29.2,28.5,0
341,Harvey Elliott,444884,12,3,50,5,2.5,117,0,0,2,0,24.6,40.5,63
565,Hwang Hee-chan,184754,20,3,60,6,3,141,0,1,2,0,32.2,28.8,49
501,Hugo Lloris,37915,18,1,55,3,1.5,180,0,0,3,0,24.6,0,0
354,Ilkay Gündogan,59859,13,3,75,13,6.5,141,1,0,0,2,45.4,60.6,47
306,Illan Meslier,437495,11,1,45,4,2,180,0,0,3,0,53.4,0,0
524,Ivan Perišić,45034,18,2,54,5,2.5,35,0,1,0,0,27.4,36.3,6
86,Ivan Toney,144485,4,4,71,17,8.5,180,1,2,2,1,76.6,68.9,39
443,Jack Colback,58771,16,3,45,2,2,90,0,0,2,0,14.4,1.3,0
358,Jack Grealish,114283,13,3,70,4,2,135,0,0,0,1,13.2,54.4,18
301,Jack Harrison,221399,11,3,60,10,5,173,0,2,3,0,69,131,14
66,Jack Stacey,154131,3,2,44,-1,-1,90,0,0,4,0,6.6,4.6,0
