,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
52,488,Philippe Coutinho,148,0.057919946,0.036583159,2,1,1,0.057919946,0.194830999,0.136911049
10,343,Pierre-Emile Højbjerg,180,0.026101446,0.478972316,1,3,0,0.026101446,1.07310003,0.568026319
123,1801,Pontus Jansson,180,0,0,0,0,0,0,0,0
68,618,Raheem Sterling,177,0.768836036,0.569633037,5,4,0,0.768836036,1.421064854,0.110446144
277,8961,Rúben Dias,158,0.014141738,0,1,0,0,0.014141738,1.169123188,1.169123188
205,6853,Rúben Neves,180,0.071305196,0.135649279,3,2,1,0.071305196,0.77859211,0.72252728
127,2245,Raphael Varane,40,0,0,0,0,0,0,0.107794821,0.107794821
319,10750,Rasmus Kristensen,180,0.193484649,0,1,0,1,0.193484649,0.511246979,0.511246979
196,6674,Rayan Ait Nouri,180,0,0.573528036,0,4,0,0,0.573528036,0.573528036
34,8067,Reece James,180,0.552869648,0.635107964,4,4,2,0.552869648,1.729763329,1.262207627
173,6026,Richarlison,30,0,0,0,0,0,0,0,0
291,9679,Rico Henry,180,0.085891582,0.442574233,3,1,0,0.085891582,0.533776987,0.049258433
83,750,Riyad Mahrez,91,0.079718627,0.08525679,3,3,0,0.079718627,0.544615582,0.521934971
281,9098,Robert Sánchez,180,0,0,0,0,0,0,0.016128626,0.016128626
50,482,Roberto Firmino,53,0,0,0,0,0,0,0.016877776,0.016877776
187,6273,Robin Koch,180,0.032678086,0,1,0,0,0.032678086,0.442064404,0.442064404
134,2496,Rodri,180,0.121663271,0,3,0,0,0.121663271,1.548514992,1.548514992
0,2381,Rodrigo,157,1.55203186,0.416053742,8,3,0,1.55203186,0.892112412,0.109238178
183,6108,Rodrigo Bentancur,170,0,0,0,0,1,0,1.510726362,1.510726362
307,10004,Romeo Lavia,180,0.018676354,0.018007427,1,1,0,0.018676354,0.720696151,0.702688754
80,688,Ruben Loftus-Cheek,106,0.101747423,0.20210357,1,2,0,0.101747423,1.217888594,0.914037585
318,10744,Ryan Christie,68,0,0,0,0,0,0,0,0
31,6837,Ryan Sessegnon,128,0.744001269,0,3,0,1,0.744001269,0.784022987,0.703085244
142,3585,Said Benrahma,119,0.123613179,0.345908642,4,4,0,0.123613179,0.514054202,0.139780447
160,5602,Sam Surridge,80,0.117727384,0,2,0,1,0.117727384,0.117727384,0
322,10757,Scott McKenna,180,0,0,0,0,1,0,0.176775455,0.176775455
157,5560,Scott McTominay,120,0.070573583,0,1,0,2,0.070573583,0.365468845,0.294895254
178,6049,Solly March,167,0.271713149,0.411281675,4,2,1,0.271713149,0.745544299,0.172982533
46,453,Son Heung-Min,172,0.789056897,0.266887582,6,5,0,0.789056897,1.061305314,0.165159002
210,6893,Stuart Armstrong,107,0.107863732,0.054240495,2,1,0,0.107863732,0.107863732,0
260,8635,Sven Botman,91,0,0,0,0,0,0,0,0
33,7814,Taiwo Awoniyi,100,0.651374817,0,2,0,0,0.651374817,0.712541997,0.061167177
43,229,Thiago Alcántara,53,0,0.061388105,0,1,0,0,0.078265883,0.016877776
139,3288,Thiago Silva,180,0,0.077360317,0,1,0,0,0.062187605,0.062187605
130,2328,Thomas Partey,180,0.280074745,0.057627331,4,1,0,0.280074745,0.476925492,0.411346436
216,7184,Tim Ream,180,0,0,0,0,0,0,0.153262421,0.153262421
27,6157,Timothy Castagne,180,0.055843174,0,1,0,0,0.055843174,0.257970758,0.257970758
108,1042,Tom Davies,56,0.123193286,0,1,0,1,0.123193286,0.080126293,0.080126293
254,8288,Tomas Soucek,180,0.591361761,0,4,0,0,0.591361761,0.51981115,0.035883274
158,5590,Tosin Adarabioyo,180,0,0,0,0,0,0,0,0
122,1791,Trent Alexander-Arnold,180,0.145500511,0.949059075,4,6,0,0.145500511,2.276128829,1.304731011
226,7352,Tyler Adams,180,0.015242225,0.028160689,1,1,1,0.015242225,0.218647493,0.190486804
329,10803,Tyrell Malacia,41,0.014477663,0,1,0,0,0.014477663,0.095298953,0.080821291
251,8214,Tyrick Mitchell,172,0,0,0,0,0,0,0.58482343,0.58482343
107,1024,Tyrone Mings,90,0,0,0,0,0,0,0.131529272,0.131529272
126,2190,Vicente Guaita,180,0,0,0,0,1,0,0.458617412,0.458617412
96,833,Virgil van Dijk,180,0.009840791,0,1,0,0,0.009840791,0.968617022,0.958776236
308,10291,Vitalii Mykolenko,180,0.089102387,0.152655654,1,3,1,0.089102387,0.175166503,0.044429701
292,9680,Vitaly Janelt,114,0.047608078,0.136815727,1,2,0,0.047608078,0.189168304,0.052352577
278,8965,Vladimir Coufal,180,0.04945159,0.023832671,2,1,0,0.04945159,0.174604766,0.101320505
233,7589,Wesley Fofana,180,0.436808915,0,2,0,1,0.436808915,0.755593166,0.332402647
153,5545,Wilfred Ndidi,180,0,0,0,0,0,0,0.228245862,0.228245862
13,522,Wilfried Zaha,180,1.169443043,0.462103453,5,3,0,1.169443043,1.720662832,0.08911635
209,6888,William Saliba,180,0,0,0,0,0,0,0.400302671,0.400302671
221,7280,Yan Valery,48,0,0,0,0,0,0,0,0
194,6521,Yerry Mina,79,0,0,0,0,1,0,0,0
168,5786,Yoane Wissa,98,0.093776273,0,3,0,0,0.093776273,0.507370055,0.442574233
170,5956,Youri Tielemans,157,0.086638935,0.048949413,4,1,0,0.086638935,0.154701412,0.107532814
