id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
7991,Aaron Connolly,799,4.464137131348252,0.16078385151922703,23,6,0,4.464137131348252,4.783491691574454,0.19122542813420296
534,Aaron Cresswell,3176,0.8834644388407469,7.390939908102155,19,58,3,0.8834644388407469,10.62028263323009,8.39244052581489
5603,Aaron Ramsdale,3420,0.0,0.07767162658274174,0,2,1,0.0,2.899687459692359,2.822015842422843
5584,Aaron Wan-Bissaka,3060,0.9324539508670568,2.547663254663348,7,31,3,0.9324539508670568,12.242122776806355,9.676274543628097
1726,Abdoulaye Doucouré,2468,2.3695230297744274,2.388998984824866,18,21,6,2.3695230297744274,10.453207712620497,6.824092600494623
4866,Aboubakar Kamara,303,0.6549202371388674,0.32896897941827774,4,6,1,0.6549202371388674,1.1032148711383343,0.1823261920362711
486,Adam Lallana,1572,1.614305904135108,2.628757566213608,22,25,0,1.614305904135108,9.719970118254423,5.874304872006178
7699,Adam Webster,2596,1.2729570996016264,0.2532156016677618,25,5,4,1.2729570996016264,7.724677037447691,7.5824143048375845
900,Adama Traoré,2630,2.0761541817337275,5.271671320311725,43,55,4,2.0761541817337275,9.475093045271933,3.006398070603609
5556,Ademola Lookman,2765,6.251116008497775,5.25840737298131,69,61,5,5.48994714114815,15.355220101773739,7.334159415215254
1685,Ahmed Elmohamady,823,0.3412727639079094,0.9894664287567139,9,13,2,0.3412727639079094,2.426968083716929,1.610212274827063
1750,Ainsley Maitland-Niles,1719,0.7961910218000412,0.8219911437481642,12,6,2,0.7961910218000412,5.9684741497039795,5.051884198561311
773,Aleksandar Mitrovic,1369,5.677362998947501,2.9247111547738314,59,23,3,4.1550253089517355,7.808299113065004,1.8494821228086948
500,Alex Iwobi,1536,0.8436320181936026,2.155348900705576,15,16,0,0.8436320181936026,7.218916330486536,4.475584605708718
635,Alex McCarthy,2700,0.0,0.0,0,0,2,0.0,2.76343253813684,2.76343253813684
1828,Alex Telles,696,0.14523464627563953,0.7849509567022324,5,12,0,0.14523464627563953,3.6260684728622437,3.524720549583435
3277,Alexandre Lacazette,1939,12.028909418731928,2.209213115274906,45,22,3,9.745402876287699,14.361542394384742,2.9379407837986946
8379,Alexis Mac Allister,1110,1.3531406065449119,1.870868494734168,24,15,1,1.3531406065449119,5.655093248933554,3.266662317328155
6842,Alireza Jahanbakhsh,512,1.8732194174081087,3.2342965975403786,18,10,3,1.8732194174081087,5.389569176360965,2.52194894105196
1257,Alisson,2970,0.1076817587018013,0.0,1,0,1,0.1076817587018013,3.5593252051621675,3.5593252051621675
1379,Allan,2051,0.2417211476713419,0.7722852285951376,7,16,6,0.2417211476713419,9.109652698040009,8.36444772593677
101,Allan Saint-Maximin,1578,2.8259131088852882,4.013324308209121,30,29,0,2.8259131088852882,10.59472032263875,4.22400295548141
2310,Alphonse Areola,3240,0.0,0.0,0,0,2,0.0,3.555330414324999,3.555330414324999
200,Andreas Christensen,1375,0.12940827198326588,0.250104570761323,3,6,2,0.12940827198326588,7.441710580140352,7.276742447167635
1688,Andrew Robertson,3391,1.4379336573183537,7.220491709187627,19,65,2,1.4379336573183537,19.869481820613146,15.435008822008967
6274,Andriy Yarmolenko,343,0.3100077696144581,0.7814441211521626,7,5,3,0.3100077696144581,1.4537306912243366,0.9313923269510269
775,Andros Townsend,2255,2.4719981215894222,4.146493591368198,36,40,0,2.4719981215894222,7.262479238212109,3.630241647362709
2383,André Gomes,1574,0.42712869960814714,1.0544508751481771,14,15,3,0.42712869960814714,5.508419404737651,4.376286745071411
537,Andy Carroll,369,0.6033168490976095,0.06301983259618282,13,2,1,0.6033168490976095,0.9890148416161537,0.542128044180572
528,Angelo Ogbonna,2493,1.6960736466571689,0.4284707475453615,13,4,5,1.6960736466571689,4.00784369930625,3.785348754376173
553,Anthony Martial,1494,7.405651165172458,2.6198029601946473,42,17,0,7.405651165172458,11.814813017845154,3.3195053301751614
8940,Antonee Robinson,2158,0.46774907410144806,2.032745026051998,10,29,4,0.46774907410144806,7.802951233461499,6.3960442235693336
1822,Antonio Rüdiger,1710,1.1399364518001676,0.3058073613792658,14,4,0,1.1399364518001676,9.137650460004807,9.044836282730103
5612,Anwar El Ghazi,1612,9.037517840974033,1.8828656133264303,64,26,2,5.99284244235605,7.845562790520489,2.6913463715463877
1760,Arthur Masuaku,1017,0.4290256863459945,2.595891861245036,6,11,2,0.4290256863459945,4.273891273885965,1.791139980778098
4422,Ashley Barnes,1342,3.874066237360239,0.8005475150421262,38,19,4,3.1128973700106144,4.19031529314816,1.1986291762441397
669,Ashley Westwood,3412,1.0059903170913458,6.534150272607803,19,52,7,1.0059903170913458,10.02816173247993,6.304798097349703
934,Axel Tuanzebe,401,0.0,0.0,0,0,2,0.0,1.078361839056015,1.078361839056015
2498,Aymeric Laporte,1335,0.8423399478197098,0.5778953805565834,6,5,1,0.8423399478197098,6.243810184299946,6.243810184299946
770,Ayoze Pérez,1326,4.0365753173828125,1.2486064918339252,31,23,2,4.0365753173828125,9.872759373858571,6.759955797344446
8482,Bailey Peacock-Farrell,360,0.0,0.0,0,0,0,0.0,0.007730923593044281,0.007730923593044281
782,Ben Chilwell,2296,2.9848903995007277,2.455677840858698,27,30,3,2.9848903995007277,11.330961346626282,8.155131921172142
660,Ben Davies,1330,0.19769307598471642,0.4373754449188709,3,8,1,0.19769307598471642,2.6845735367387533,2.3310538921505213
7689,Ben Godfrey,2682,0.793114734813571,0.9784832503646612,14,4,4,0.793114734813571,5.5503826308995485,4.866148514673114
