full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Christian Benteke,4,55,106,1808,10,2,34,5,512.6,236.5,1030,606,Christian Benteke,1824,7.457401188,0.697626286,71,15,1,7.457401188,8.472839532,3.153553776
Christian Fuchs,2,45,24,701,0,0,9,3,137,33.9,22,749,Christian Fuchs,703,0.073731475,0.013015583,4,1,4,0.073731475,2.723851103,2.665549189
Christian Pulisic,3,83,82,1731,4,3,21,7,361.4,378.8,724,2662,Christian Pulisic,1739,6.775412478,2.761232169,43,25,2,6.775412478,14.59385795,7.101119594
Ciaran Clark,2,45,46,1890,1,0,35,3,402.6,29.8,105,875,Ciaran Clark,1895,0.662202362,0.14438941,8,2,3,0.662202362,2.862961159,2.862961159
Conor Coady,2,49,106,3303,1,0,51,10,692.2,40.1,85,6851,Conor Coady,3305,1.445029649,0.196238302,7,3,5,1.445029649,5.043202904,4.874851183
Conor Gallagher,3,55,71,2530,2,2,48,5,437.2,320.1,276,9040,Conor Gallagher,2529,1.542326158,1.418287797,29,21,11,1.542326158,5.059539877,3.12478549
Conor Townsend,2,44,76,2234,0,2,36,6,440.2,343.8,154,8905,Conor Townsend,2237,0.822823302,2.648506863,11,23,0,0.822823302,6.119822977,3.785737064
Craig Dawson,2,45,75,1925,3,0,25,7,433.6,30.2,219,804,Craig Dawson,1925,2.736060735,0.054468296,16,2,3,2.736060735,3.00505727,3.00505727
Curtis Jones,3,44,50,1169,1,2,14,5,224.6,233.4,289,6665,Curtis Jones,1174,1.758892709,1.521143509,19,12,2,1.758892709,7.742866412,5.182874274
Cédric Soares,2,46,28,744,0,1,11,2,110.8,114.8,66,847,Cédric Soares,746,0.203542727,0.892805435,7,6,1,0.203542727,3.335598396,2.919357073
César Azpilicueta,2,58,113,2187,1,2,20,13,502.2,413.3,164,681,César Azpilicueta,2189,0.503005005,2.575494335,11,27,5,0.503005005,13.98924253,12.33882074
Dan Burn,2,42,64,2057,1,0,28,6,389,183.1,214,7382,Dan Burn,2059,1.078170056,0.977860435,17,10,5,1.078170056,4.978818271,4.176192023
Daniel Amartey,2,39,19,718,1,0,12,0,155,10.9,61,2446,Dani Ceballos,1613,0.659257941,2.578971768,13,27,4,0.659257941,9.275826007,8.116632506
Daniel Castelo Podence,3,53,75,1661,3,2,24,8,285.6,322,456,759,Daniel Amartey,714,0.542172275,0,3,0,2,0.542172275,2.531733267,2.456876211
Daniel Ceballos Fernández,3,47,62,1609,0,4,17,6,359.8,422.3,141,5595,Daniel James,920,2.312423252,1.328613287,17,10,3,2.312423252,5.241103306,2.144381704
Daniel James,3,62,43,907,3,1,7,4,186,145.7,285,8291,Daniel Podence,1718,2.744377876,1.839432783,32,21,3,2.744377876,6.725102685,2.910881344
Danny Ings,4,84,131,2172,12,4,40,6,634.6,300.7,866,986,Danny Ings,2200,8.276573244,2.31123058,57,22,1,6.754235521,10.48221801,2.479040857
Danny Welbeck,4,55,89,1541,6,4,18,6,319.8,269.7,595,501,Danny Welbeck,1551,7.380381532,3.23136685,35,22,0,6.619249471,10.26566652,1.476512637
Dara O'Shea,2,42,41,2099,0,0,51,3,439.8,71.2,44,8756,Dara O&#039;Shea,2098,0.064252788,0.119291768,3,5,3,0.064252788,1.898305384,1.838441035
Darnell Furlong,2,45,79,2931,1,3,63,6,474.4,275,276,4391,Darnell Furlong,2926,1.93333247,2.463005515,26,17,5,1.93333247,6.135472815,3.374022385
David Luiz Moreira Marinho,2,54,41,1396,1,0,20,3,250.6,46.7,144,1676,David Luiz,1410,0.669567026,0.524025485,15,2,1,0.669567026,4.749538992,4.629008282
David McGoldrick,4,52,100,2391,8,1,37,9,464.4,320.2,860,7711,David McGoldrick,2409,7.605752226,1.116618961,71,17,7,7.605752226,9.950739227,3.253697068
David de Gea,1,53,91,2295,0,0,32,9,464.2,0,0,546,David de Gea,2298,0,0,0,0,0,0,2.11324946,2.11324946
Davinson Sánchez,2,52,43,1486,0,0,22,4,319.2,20,114,6249,Davinson Sánchez,1488,0.800694175,0.020530213,5,1,1,0.800694175,5.348088115,5.348088115
DeAndre Yedlin,2,43,13,435,0,0,6,1,58.6,41.8,20,727,DeAndre Yedlin,442,0.099849286,0.084432976,2,3,0,0.099849286,0.525703978,0.356639266
Dean Henderson,1,52,44,1125,0,0,12,4,275.4,0,0,7702,Dean Henderson,1122,0,0,0,0,3,0,1.281179894,1.281179894
Declan Rice,3,47,86,2880,2,1,37,11,561.2,343.8,303,5553,Declan Rice,2880,3.191765243,1.978934191,28,23,2,1.669427538,10.66163223,9.188759016
Dennis Praet,3,52,37,714,1,2,11,3,119.2,132.1,120,1234,Dennis Praet,730,0.43896842,1.215856321,8,7,0,0.43896842,2.11191888,1.291694002
Diego Llorente,2,44,50,1203,1,0,12,4,293,51,115,2163,Diego Llorente,1208,0.907168003,0.461230189,8,4,1,0.907168003,3.133223627,2.109321967
Diogo Jota,3,69,86,1106,9,0,15,4,387.4,188.3,680,6854,Diogo Jota,1114,7.057720538,1.762521075,46,12,2,7.057720538,10.9729747,4.076096492
Dominic Calvert-Lewin,4,75,165,2871,16,6,39,11,745.8,308,1439,5555,Dominic Calvert-Lewin,2878,18.21051367,2.101818834,83,18,3,18.21051367,19.88430648,4.270797715
Donny van de Beek,3,66,32,511,1,2,12,0,117,58.4,70,8821,Donny van de Beek,486,0.294728725,1.043387569,2,3,1,0.294728725,3.546600137,2.208483815
Douglas Luiz Soares de Paulo,3,48,72,2781,0,2,41,12,403.4,304.5,189,6122,Douglas Luiz,2807,1.318833555,2.418148297,26,19,8,1.318833555,9.615895635,7.108103702
Dwight Gayle,4,59,31,501,1,1,9,0,79.6,89.4,263,743,Dwight Gayle,483,2.929797634,0.275555471,16,6,0,2.929797634,3.037841819,0.514048237
Dwight McNeil,3,57,113,3068,2,5,50,11,591.8,790.3,277,6756,Dwight McNeil,3075,1.080684774,5.477006817,27,47,1,1.080684774,6.94860323,3.606812438
Eberechi Eze,3,58,125,2555,4,8,51,6,516.2,653.1,383,8706,Eberechi Eze,2570,2.494572142,3.741961938,37,42,3,2.494572142,7.996477496,3.95995456
Ederson Santana de Moraes,1,61,160,3240,0,1,28,19,586,10,0,6054,Ederson,3240,0,0.303358078,0,1,3,0,7.629851099,7.326493043
Edinson Cavani,4,80,99,1364,10,4,18,4,443.4,203.3,513,3294,Edinson Cavani,1355,8.603231721,2.317243515,34,14,4,8.603231721,12.25918739,2.730645167
Edouard Mendy,1,53,140,2745,0,0,25,16,470.2,0,0,6880,Edouard Mendy,2748,0,0,0,0,2,0,4.780523473,4.780523473
Edward Nketiah,4,53,36,411,2,1,6,1,116.6,97.3,211,6482,Eddie Nketiah,405,2.022098698,0.742354877,12,8,0,2.022098698,2.077280363,0.220550492
Emil Krafth,2,42,45,1286,1,1,27,5,240.4,87.7,88,1545,Emil Krafth,1297,0.150912438,0.434515152,7,6,4,0.150912438,3.910903702,3.427047376
Emile Smith Rowe,3,42,74,1438,2,5,10,9,273.2,385.1,222,7230,Emile Smith-Rowe,1456,1.592160005,3.622619266,13,27,0,1.592160005,9.53824842,5.634505972
Emiliano Martínez,1,53,186,3420,0,0,46,15,1067.2,20,0,4401,Emiliano Martinez,3420,0,0.122923359,0,2,1,0,3.730909233,3.607985866
Enda Stevens,2,50,56,2700,0,1,54,4,443.4,294.5,198,7707,Enda Stevens,2700,1.447222658,1.609738568,16,17,6,1.447222658,8.229206579,6.430095486
Eric Bailly,2,48,31,915,0,0,17,3,175.6,8.3,26,1739,Eric Bailly,916,0.080822576,0,2,0,3,0.080822576,1.796781428,1.796781428
Eric Dier,2,46,77,2520,0,0,34,8,577,82.2,114,643,Eric Dier,2520,1.253161289,0.225423315,14,6,3,1.253161289,5.722176462,5.697844207
Eric Garcia,2,47,6,380,0,0,12,0,67.6,26.4,5,8045,Eric Garcia,378,0.074636623,0.008322988,2,1,0,0.074636623,0.859475948,0.78483931
Erik Lamela,3,57,28,700,1,1,17,1,115.2,137.1,236,644,Erik Lamela,683,1.289412983,0.805831972,21,8,4,1.289412983,4.192472446,2.828797733
Erik Pieters,2,43,50,1260,0,3,19,3,199.4,77,63,887,Erik Pieters,1259,0.151167927,0.36361596,4,5,1,0.151167927,1.932886744,1.552714355
Ethan Ampadu,2,43,44,2087,0,0,41,2,458,189.6,51,6369,Ethan Ampadu,2095,0.194453001,0.983016009,7,11,3,0.194453001,3.262278304,2.999170067
Ezgjan Alioski,2,44,110,2456,2,3,35,10,477.8,423,281,8722,Ezgjan Alioski,2475,1.746611039,3.33275333,25,28,7,1.746611039,13.47833998,9.686265881
Ezri Konsa Ngoyo,2,46,119,3195,2,0,46,12,695.6,34.2,276,7726,Ezri Konsa Ngoyo,3192,3.291558614,0.093176626,22,2,3,3.291558614,3.429550214,3.381944163
Fabian Schär,2,48,30,1255,1,0,21,2,251,9,116,76,Fabian Schär,1252,1.460576858,0,12,0,4,0.699408021,0.955122676,0.873560842
Fabio Henrique Tavares,3,54,71,2566,0,2,29,11,460.4,106.8,75,3420,Fabinho,2563,0.36248932,0.298061831,10,4,6,0.36248932,11.80802621,11.55500503
Fabio Silva,4,52,72,1352,4,3,29,0,238.2,166.1,758,8778,Fabio Silva,1341,6.136157326,1.168424532,48,11,2,5.374988496,5.087808326,1.082753679
Fabián Balbuena,2,41,39,1197,1,0,19,4,260.8,9,79,6892,Fabián Balbuena,1197,1.097824555,0,8,0,1,1.097824555,2.218800288,1.996305343
Federico Fernández,2,47,53,2080,0,0,38,5,522,91.3,64,708,Federico Fernández,2090,0.193843108,0.568549119,4,7,4,0.193843108,3.305469789,3.219025113
Fernando Luiz Rosa,2,54,65,1182,0,2,10,7,248.6,220.8,106,614,Fernandinho,1170,0.815081934,1.540116428,14,14,6,0.815081934,8.776916489,7.831777148
Fernando Marçal,2,47,19,618,0,0,9,1,102.6,61.7,13,5708,Fernando Marçal,611,0.074554546,0.139807262,2,4,2,0.074554546,2.079631967,1.900301646
Ferran Torres,3,70,95,1297,7,4,13,7,352.2,276.4,543,6441,Ferrán Torres,1305,5.728707629,2.202425992,36,18,1,5.728707629,10.00299604,2.958362011
Filip Krovinovic,3,49,17,541,0,0,11,1,74.4,103.6,50,8966,Filip Krovinovic,537,0.21568189,0.171874806,8,5,0,0.21568189,0.695809597,0.477455568
Fraser Forster,1,40,30,720,0,0,11,2,191,0,0,831,Fraser Forster,720,0,0,0,0,0,0,1.113945477,1.113945477
Frederico Rodrigues de Paula Santos,3,53,69,2389,1,0,25,12,482.6,395.6,200,6817,Fred,2404,1.733165263,2.232571354,25,24,5,1.733165263,13.51970522,10.68863894
Gabriel Fernando de Jesus,4,91,115,2056,9,5,17,11,501,467.5,931,5613,Gabriel,1994,1.56454996,0.056095988,16,2,2,1.56454996,5.762660854,5.74822747
Gabriel Magalhães,2,49,78,1996,2,0,24,6,464.8,51,233,5543,Gabriel Jesus,2053,9.653353471,3.549695262,55,31,2,9.653353471,17.87849656,6.233648159
Gabriel Teodoro Martinelli Silva,3,49,36,582,2,1,3,4,142.6,133.8,300,7752,Gabriel Martinelli,581,3.252450477,1.745650906,20,9,0,3.252450477,6.159719843,1.756597346
Gareth Bale,3,92,113,912,11,3,12,5,550.8,306.5,507,2251,Gareth Bale,909,5.797857678,1.842241395,38,21,1,5.797857678,8.14964091,2.594513725
Gary Cahill,2,45,53,1800,1,1,39,4,406.2,90.1,157,699,Gary Cahill,1800,0.736513684,0.621741116,11,8,3,0.736513684,2.273189371,2.02311668
George Baldock,2,49,63,2787,0,2,51,4,351.4,310.7,234,7706,George Baldock,2787,1.331411248,2.63258943,14,18,7,1.331411248,6.618170047,4.469508331
Georginio Wijnaldum,3,53,97,2938,2,1,39,10,358.2,387,307,771,Georginio Wijnaldum,2961,2.817426797,1.662921851,31,21,1,2.817426797,13.92218181,10.47627684
Giovani Lo Celso,3,69,35,939,1,1,10,5,169.2,222.8,155,5681,Giovani Lo Celso,955,1.525260754,1.196652303,15,15,5,1.525260754,5.273323447,3.312727395
Grady Diangana,3,50,39,1230,1,0,33,1,169.4,102.3,162,6651,Grady Diangana,1249,1.097821379,0.16204886,14,5,0,1.097821379,1.629271282,0.62111727
Granit Xhaka,3,52,70,2519,1,2,27,10,456,327.6,154,204,Granit Xhaka,2537,0.778853889,1.459666081,21,17,7,0.778853889,13.89865945,12.85004018
Gylfi Sigurdsson,3,68,122,2244,6,5,29,10,530.6,644.2,510,714,Gylfi Sigurdsson,2250,6.404703327,4.837685822,49,44,2,3.360027944,8.475105921,3.660514172
Hakim Ziyech,3,79,70,1164,2,3,7,10,274.8,485.6,369,8992,Hakim Ziyech,1182,1.98731387,4.478449192,35,34,3,1.98731387,7.660671562,3.691924286
Hal Robson-Kanu,4,52,30,544,2,0,12,0,101.4,66.7,149,1738,Hal Robson-Kanu,522,1.496081311,0.243450195,13,5,2,1.496081311,2.264205154,0.634409208
Hamza Choudhury,3,46,14,311,0,0,2,2,34,13.5,29,6418,Hamza Choudhury,312,0.447797831,0,4,0,1,0.447797831,2.327858992,1.945667595
Harrison Reed,3,44,69,2243,0,3,35,9,421.2,330.4,82,910,Harrison Reed,2254,0.290977719,1.694523141,13,21,5,0.290977719,7.14201727,6.308452454
Harry Kane,4,119,242,3083,23,14,39,12,1318.2,659.1,1585,647,Harry Kane,3097,22.17485891,7.577093588,138,49,1,19.13018344,24.99564832,4.451256848
Harry Maguire,2,55,124,3047,2,2,36,13,701.4,133.6,428,1687,Harry Maguire,3049,1.48433672,0.290943004,36,7,11,1.48433672,13.1270039,13.0183471
Harry Winks,3,51,19,856,0,0,16,1,128.2,77.6,24,971,Harry Winks,854,0.061471345,0.189981017,4,4,5,0.061471345,3.745244171,3.640523344
Harvey Barnes,3,66,126,1944,9,5,25,7,556.4,359,810,6681,Harvey Barnes,1954,6.697319919,1.771688027,56,26,0,6.697319919,8.893774411,1.594840528
Heung-Min Son,3,96,228,3119,17,11,36,13,1052.2,1049.9,1046,453,Son Heung-Min,3139,11.02328676,9.51299247,68,75,0,10.2621179,20.67191555,6.608751139
Hugo Lloris,1,56,149,3420,0,0,45,12,868,0,0,637,Hugo Lloris,3420,0,0,0,0,0,0,4.80101507,4.80101507
Héctor Bellerín,2,50,94,2089,1,3,24,7,362.8,351.8,232,492,Héctor Bellerín,2098,0.860229813,2.171512437,15,21,8,0.860229813,8.059892222,6.266995819
Hélder Wander Sousa de Azevedo e Costa,3,50,63,1150,3,4,23,3,224.2,134.3,289,3428,Hélder Costa,1152,2.598154854,0.628333788,16,7,0,2.598154854,4.516011324,2.207326274
Ian Carlo Poveda-Ocampo,3,42,14,344,0,0,5,0,55,71.5,91,8723,Ian Poveda-Ocampo,322,0.660413712,1.258312037,5,5,0,0.660413712,2.022855317,0.104129592
Ibrahima Diallo,3,45,31,1010,0,0,22,3,120.4,143.2,66,6736,Ibrahima Diallo,999,0.608452328,0.637549309,7,9,3,0.608452328,3.302306402,2.571045768
