full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
DeAndre Yedlin,1,0,26,934,18,118.1,165.6,43,32.9,1,44,727,DeAndre Yedlin,935,0.751930058,0.26691528,1,7,3,0.751930058,2.288469603,1.339944096
Declan Rice,1,5,105,3420,62,350.8,715.8,259,132.5,7,47,5553,Declan Rice,3420,1.26638991,1.306303457,31,22,6,1.26638991,8.693383524,7.636568044
Dejan Lovren,0,1,18,776,11,28.1,196.6,72,29.8,0,53,602,Dejan Lovren,774,0.204140086,0.301988304,5,1,1,0.204140086,3.091093484,3.091093484
Demarai Gray,2,4,44,605,6,242.3,205.4,263,70.8,1,50,762,Demarai Gray,580,2.76719665,2.233955882,23,16,1,2.006027812,4.819445711,1.811534118
Dennis Praet,1,3,54,1122,17,161.6,196.2,210,56.5,2,52,1234,Dennis Praet,1124,1.20771589,1.492880721,16,9,2,1.20771589,6.806874417,5.090953033
Diego Rico,0,5,84,2333,38,558.9,596.6,96,125.5,6,42,5065,Diego Rico,2346,0.33659481,2.5829773,11,31,6,0.33659481,4.199680838,3.412198318
Diogo Jota,7,3,105,2278,28,453.3,457.8,1139,204.9,10,60,6854,Diogo Jota,2329,12.01767508,2.642562356,69,29,4,12.01767508,16.14993271,4.09800736
Divock Origi,4,3,65,699,12,128.8,201.8,222,55,2,51,484,Divock Origi,680,2.096560309,0.82535544,14,8,1,2.096560309,3.536445742,0.834247448
Djibril Sidib�,0,4,74,1818,30,341.5,463,121,92.5,5,50,3357,Djibril Sidibe,1806,0.301567091,2.564887006,12,19,3,0.301567091,7.775435114,5.019268615
Dominic Calvert-Lewin,13,1,126,2621,43,241.4,562.8,1272,206.3,8,61,5555,Dominic Calvert-Lewin,2639,16.10984292,1.336224832,85,15,9,16.10984292,17.21249953,3.896764422
Dominic Solanke,3,2,69,1637,39,202.5,223.2,569,99.4,1,51,1679,Dominic Solanke,1617,4.439334521,1.05356199,32,15,1,4.439334521,6.863944223,2.417156931
Douglas Luiz Soares de Paulo,3,2,90,2604,51,293.2,508.6,377,118,8,43,6122,Douglas Luiz,2602,2.277795438,2.004114667,38,17,8,2.277795438,5.569815008,3.396517634
Dwight Gayle,4,2,58,842,15,86.2,217,348,64.7,4,50,743,Dwight Gayle,856,4.639500037,0.890067921,23,6,2,4.639500037,5.124921843,1.841265086
Dwight McNeil,2,7,123,3339,48,931.4,644.2,430,200.6,16,60,6756,Dwight McNeil,3360,1.938933546,7.56243,48,55,5,1.938933546,10.70158816,3.791263087
Ederson Santana de Moraes,0,0,133,3071,31,16,608.6,0,62.3,16,61,6482,Eddie Nketiah,629,3.4787293,0.631174701,15,5,0,3.4787293,4.134649701,0.578408159
Edward Nketiah,2,0,25,628,9,67,90.4,210,36.4,3,43,6054,Ederson,3071,0,0.074793592,0,1,3,0,8.338199552,8.263405945
Emerson Palmieri dos Santos,0,0,19,1022,21,298.7,207.8,225,73.2,1,54,1245,Emerson,1019,1.099134436,1.687928706,13,19,3,1.099134436,6.990983002,5.515447676
Emil Krafth,0,1,37,1015,23,28.8,184.4,39,25.2,3,43,1545,Emil Krafth,1024,0.35268707,0.703287482,4,1,0,0.35268707,1.795727298,0.739752745
Emiliano Buend�a,1,7,94,2458,54,1196.7,711.6,401,231.1,3,60,2203,Emiliano Buendía,2462,2.169868305,7.190962212,40,83,6,2.169868305,12.54794856,7.511154667
Emiliano Mart�nez,0,0,33,770,9,0,256.8,0,25.8,3,44,4401,Emiliano Martinez,771,0,0,0,0,2,0,0.907871846,0.907871846
Enda Stevens,2,4,142,3345,39,554.5,641,338,153.5,13,52,7707,Enda Stevens,3350,1.521256872,5.414862501,22,34,7,1.521256872,13.60974467,10.10498678
Eric Dier,0,2,36,1340,23,100.2,297.2,56,45.6,3,48,643,Eric Dier,1339,1.029715933,0.283680497,8,7,5,1.029715933,5.148773747,4.25066315
Eric Garcia,0,0,38,790,7,42.2,153,26,22.2,5,45,8045,Eric Garcia,780,0.603948176,0.222609509,2,2,1,0.603948176,4.964900881,4.964900881
Erik Lamela,2,5,65,1203,12,284.2,226.2,337,84.5,5,57,644,Erik Lamela,1190,2.30997267,1.011313845,29,18,3,2.30997267,6.637918632,4.436078742
Erik Pieters,0,5,77,1876,35,273.8,355.4,90,71.6,6,43,887,Erik Pieters,1880,0.451019884,2.698189762,14,18,2,0.451019884,5.004477552,2.330093649
Etienne Capoue,0,4,78,2627,48,313.6,482.8,102,90,8,48,572,Etienne Capoue,2643,0.64165831,2.543247055,19,19,8,0.64165831,8.066860909,6.257090844
Ezequiel Schelotto,0,0,9,357,7,12.7,38.4,65,11.4,0,39,3873,Ezequiel Schelotto,362,0.254964938,0,4,0,1,0.254964938,0.49947959,0.244514655
Ezri Konsa Ngoyo,1,2,65,2038,39,151.8,400.6,173,72.8,5,43,7726,Ezri Konsa Ngoyo,2054,1.669818348,0.885057818,11,11,3,1.669818348,2.952718263,2.549149277
Fabian Delph,0,0,24,1187,24,146.7,183,24,35.4,2,53,876,Fabian Delph,1194,0.045710572,0.478917675,3,7,3,0.045710572,5.085359991,4.884202838
Fabian Sch�r,2,1,55,1669,38,58.3,440.6,179,67.8,4,50,76,Fabian Schär,1675,1.059588282,0.10137989,20,4,5,1.059588282,2.578661961,1.865305668
