full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Jonjo Shelvey,6,2,105,2118,34,597.4,559.4,344,150.4,8,49,769,Jonjo Shelvey,2136,2.24221378,4.141612278,45,44,3,2.24221378,7.487127935,4.892644167
Jonny Evans,1,2,128,3384,41,131.9,755.2,325,121.4,13,53,807,Jonny Evans,3390,2.480743626,0.381034912,23,8,8,2.480743626,10.93947146,10.73453592
Jordan Ayew,9,3,132,3148,45,445.6,597.4,885,192.4,12,51,672,Jordan Ayew,3196,7.676179042,2.864641923,58,30,6,7.676179042,11.72133004,3.87739226
Jordan Henderson,4,5,116,2234,14,425.9,582.6,275,128.5,16,52,605,Jordan Henderson,2254,1.184688816,4.10806204,20,27,2,1.184688816,15.85856329,12.1521189
Jordan Pickford,0,0,117,3420,56,13,755.6,0,76.7,9,52,741,Jordan Pickford,3420,0,0.036478747,0,1,2,0,3.216958884,3.216958884
Jorge Luiz Frello Filho,4,3,92,2376,40,422.4,600,158,118.4,6,49,1389,Jorginho,2391,3.097004123,2.916516068,12,23,10,0.813497595,15.91804847,14.99246665
Joseph Gomez,0,0,93,1999,16,105.7,390.6,12,50.9,12,53,987,Joseph Gomez,1996,0.018379156,0.163564123,1,5,7,0.018379156,8.470328348,8.29664246
Joseph Willock,1,1,41,838,16,165.9,176.8,212,55.2,1,47,6630,Joe Willock,819,2.320996422,1.046809496,15,12,2,2.320996422,5.560237467,3.183693353
Josh Brownhill,0,0,21,805,10,58.5,101.2,49,20.8,4,48,8323,Josh Brownhill,808,0.318044197,0.122256584,6,3,2,0.318044197,2.09862379,1.89085114
Joshua King,6,5,99,2010,37,412.7,435.8,506,135.1,4,61,465,Joshua King,2033,6.534089729,4.133098684,26,30,0,4.250657398,8.373351187,3.02174308
Jos� Holebas,0,1,21,1022,28,208.4,171.4,62,44.1,2,46,568,José Holebas,1019,0.238553644,0.54293564,6,11,5,0.238553644,2.609519782,2.237692667
Angelino,0,1,11,422,7,164,92.6,58,31.6,0,46,1040,Angelino,417,0.209232934,1.923204936,5,9,1,0.209232934,2.763353288,2.369252861
Jota,0,1,17,329,5,56.9,47,73,17.3,2,57,2132,Jota,328,0.263800247,0.56823143,6,4,0,0.263800247,1.558620621,0.849068344
Jos� Reina,0,0,41,1080,20,10,289.4,0,30,2,42,1374,José Reina,1080,0,0.039028116,0,1,1,0,1.70922461,1.70922461
Josip Drmic,1,0,26,636,13,67.3,59.6,231,35.3,0,53,209,Josip Drmic,609,2.934155995,0.949162114,14,4,0,2.934155995,2.379446946,0.244455379
Juan Mata,0,2,38,747,8,293.9,109.2,130,53.4,4,61,554,Juan Mata,740,1.217082262,2.104931265,10,18,1,1.217082262,4.749433916,3.057509588
Junior Stanislas,3,1,42,706,17,185.4,179,241,60.7,1,58,463,Junior Stanislas,706,1.870865489,0.922529279,17,12,1,1.109696637,2.252744849,1.580289776
Kasper Schmeichel,0,0,156,3420,41,30,863.4,2,89.6,13,55,745,Kasper Schmeichel,3420,0.018557744,0.364433745,1,3,2,0.018557744,3.87591101,3.518941959
Keinan Davis,0,1,25,534,7,71.7,27.8,212,29.9,1,42,1053,Keinan Davis,514,1.985923849,0.180366119,17,6,0,1.985923849,2.638287212,1.306781422
Kelechi Iheanacho,5,4,64,953,9,204.2,288.2,603,109.4,3,57,620,Kelechi Iheanacho,976,5.90127157,2.588645751,36,15,1,5.90127157,8.980088063,1.332780542
Kenny McLean,1,1,77,2965,63,423.9,505.8,274,120.4,5,48,7693,Kenny McLean,2955,1.213697412,2.622597435,30,24,5,1.213697412,8.084727772,6.269315179
Kepa Arrizabalaga,0,0,90,2970,47,0,503.6,0,50.2,8,54,5061,Kepa,2970,0,0,0,0,0,0,5.265830476,5.265830476
Kevin De Bruyne,13,23,251,2790,22,1990.8,1322.2,1005,432.1,18,106,447,Kevin De Bruyne,2818,8.106427835,20.62070693,100,133,3,6.58409016,37.79831073,19.24482371
Kevin Long,0,0,21,562,5,1.3,104.8,24,13,2,43,1747,Kevin Long,560,0.105990048,0,2,0,0,0.105990048,0.850585878,0.757578969
Kieran Tierney,1,2,42,986,16,121.1,201.8,73,39.8,2,53,8089,Kieran Tierney,996,0.228362441,0.753617685,6,6,2,0.228362441,2.880771268,2.309806339
Kortney Hause,1,0,34,1544,34,33,352.8,248,63.4,2,44,6859,Kortney Hause,1541,2.823767407,0.490759835,20,2,3,2.823767407,1.735960333,1.735960333
Kurt Zouma,0,0,62,2343,37,40.1,518,162,71.7,7,47,935,Kurt Zouma,2340,1.469709527,0.121913828,15,1,6,1.469709527,9.402101983,9.392717806
Kyle Walker,1,4,114,2392,24,394.4,435.6,169,100.1,12,57,638,Kyle Walker,2407,1.312236728,1.930935388,14,19,5,1.312236728,17.87528704,16.14107899
Kyle Walker-Peters,0,1,32,944,12,108.6,168.2,48,32.2,2,44,885,Kyle Walker-Peters,946,0.119531885,0.74736209,3,6,1,0.119531885,2.343926486,1.64901511
Leander Dendoncker,4,0,100,2790,34,160.6,529.2,282,96.8,11,44,7236,Leander Dendoncker,2793,2.6380439,0.716940838,20,9,5,2.6380439,9.559081248,8.40288242
Leandro Trossard,5,5,104,2004,34,585.4,411.4,540,153.2,4,58,7698,Leandro Trossard,2018,5.354302024,4.625110671,41,42,0,5.354302024,12.01170401,4.77916933
Leighton Baines,0,1,14,400,8,123.8,81.8,5,21.2,0,49,588,Leighton Baines,399,0.043360382,0.761081086,1,7,0,0.043360382,1.677618213,1.677618213
Lewis Cook,0,1,40,1340,30,183.1,187.8,68,43.8,2,50,1789,Lewis Cook,1331,0.24775367,0.548651425,9,11,5,0.24775367,3.170845577,2.713585532
Lewis Dunk,3,3,128,3230,50,171.8,825.6,469,146.8,9,48,6048,Lewis Dunk,3233,3.71927774,1.26342325,31,14,9,3.71927774,8.553321623,8.347681749
Lloyd Kelly,0,0,11,638,15,28.4,73.4,20,12.2,1,44,8090,Lloyd Kelly,634,0.035675462,0.138222381,1,1,2,0.035675462,0.654059775,0.515837394
Lucas Digne,0,8,120,3031,49,1112,743,293,215,9,59,1823,Lucas Digne,3044,1.257189199,6.390029035,29,72,6,1.257189199,8.197329143,5.132402357
Lucas Rodrigues Moura da Silva,4,5,100,2235,29,477.1,494.6,751,172.1,6,70,3293,Lucas Moura,2261,5.582064642,3.279884607,56,35,3,5.582064642,10.08838138,3.178778965
Lucas Torreira,1,1,46,1501,23,207.1,281.8,207,69.7,3,47,1227,Lucas Torreira,1496,1.457248714,0.825807973,21,13,7,1.457248714,6.481219806,4.913524672
Luka Milivojevic,3,1,81,2510,38,499.1,460,190,114.9,7,67,5549,Luka Milivojevic,2519,2.495715669,1.736452141,31,29,12,0.973377994,4.504622877,3.986329461
Lukas Rupp,0,0,19,692,18,109.1,70.2,88,26.4,1,44,62,Lukas Rupp,701,0.855793107,0.775527481,4,8,1,0.855793107,2.554830967,0.923510366
Lukasz Fabianski,0,0,83,2117,34,0,531.2,0,53.2,5,49,706,Lukasz Fabianski,2117,0,0,0,0,1,0,1.003832517,1.003832517
Luke Freeman,0,0,13,360,5,77.4,46.2,25,14.9,1,50,7713,Luke Freeman,358,0.057679892,0.185561039,3,3,2,0.057679892,0.681846146,0.46212709
Luke Shaw,0,0,67,1730,15,321.2,344.2,187,85.1,8,54,1006,Luke Shaw,1735,0.719465985,1.375558405,11,19,7,0.719465985,7.25877029,6.281433146
Lys Mousset,6,4,84,1223,15,163.1,303,530,98.1,3,43,1748,Lys Mousset,1220,6.072983541,3.612106992,37,12,1,6.072983541,9.621278783,2.463755716
Mahmoud Ahmed Ibrahim Hassan,6,2,98,1936,29,303.7,422.4,741,145.7,6,52,7722,Trézéguet,1955,5.345049158,0.958256496,50,21,2,5.345049158,6.641214985,2.611431491
Mamadou Sakho,0,0,11,929,21,15.9,179.2,6,20.2,0,50,485,Mamadou Sakho,928,0,0.029572835,0,1,1,0,1.73845271,1.708879873
Manuel Lanzini,0,3,50,1370,30,464.8,219,281,96.5,2,61,535,Manuel Lanzini,1372,2.141773476,2.079108534,23,31,1,2.141773476,5.773349335,3.432397785
Marc Albrighton,0,3,38,857,11,287.9,190.6,102,58.1,3,51,753,Marc Albrighton,860,0.446091877,2.290337469,10,20,2,0.446091877,4.420472512,2.378024429
Marco Stiepermann,0,0,32,1173,32,188.1,120.2,277,58.5,1,50,7694,Marco Stiepermann,1201,1.293781566,0.937404895,19,12,6,1.293781566,5.158773828,3.412886145
Marcos Alonso,4,4,100,1429,18,413.4,411.8,420,124.3,7,61,1621,Marcos Alonso,1436,2.546826496,2.991487339,30,25,4,2.546826496,10.60677864,7.111681357
Marcus Rashford,17,8,177,2645,29,563.7,887,1265,271.7,9,89,556,Marcus Rashford,2673,19.50372761,5.457172869,95,33,3,13.41441368,20.24479784,5.906573037
Mario Vrancic,1,0,29,624,19,107.9,123,123,35.4,0,62,12,Mario Vrancic,613,1.097883802,1.030054159,14,7,3,1.097883802,1.720390306,1.226145415
Mark Noble,4,4,105,2675,44,602.2,542.2,164,131.1,7,49,533,Mark Noble,2709,2.773826021,3.181472189,17,44,5,0.490319523,10.03794243,7.929711479
Mart�n Montoya,0,1,62,1892,32,338,337.4,177,85.5,6,43,1950,Martín Montoya,1912,1.434309933,1.942305795,8,21,5,1.434309933,6.852791702,4.159861935
Martin Dubravka,0,0,143,3420,58,0,1019,0,102,11,51,6532,Martin Dubravka,3420,0,0,0,0,0,0,2.55671307,2.55671307
Martin Kelly,0,1,64,1547,16,96.5,305.4,15,41.7,6,41,525,Martin Kelly,1554,0.060972406,0.833954088,2,6,0,0.060972406,2.381859912,2.184050214
Marvelous Nakamba,0,0,43,1826,37,162.9,292.2,24,47.9,1,44,8040,Marvelous Nakamba,1836,0.131544667,0.54774553,7,12,5,0.131544667,4.796764562,4.29724895
Mason Greenwood,10,1,103,1303,13,222.7,449.6,502,117,6,48,7490,Mason Greenwood,1304,3.387857363,1.411507794,39,14,0,3.387857363,8.516980451,4.284458378
Mason Holgate,0,4,71,2052,34,63.9,465.4,152,68.3,5,42,985,Mason Holgate,2047,1.405400881,1.122264192,12,4,5,1.405400881,6.361287424,5.70923648
Mason Mount,7,6,137,2865,44,814,641.2,974,242.8,9,60,7768,Mason Mount,2894,7.49783041,5.258456767,78,52,3,7.49783041,16.87500463,8.520663107
Matej Vydra,2,1,39,807,7,113.3,144.2,273,53.3,5,51,1017,Matej Vydra,794,4.003597118,0.745943146,18,8,0,4.003597118,5.321380101,0.667027811
Mateo Kovacic,1,3,68,2065,37,458.5,497,186,114,4,53,2254,Mateo Kovacic,2086,0.972659864,1.848453196,21,28,8,0.972659864,10.1122225,9.035377033
Mathew Ryan,0,0,135,3420,54,0,1000,0,100.1,9,47,2385,Mat Ryan,3420,0,0,0,0,0,0,4.315608842,4.315608842
Matt Doherty,4,8,167,2836,31,340.5,576.2,681,160,12,65,6852,Matt Doherty,2842,6.484134657,2.127985888,34,21,1,6.484134657,14.1650483,7.663296996
Matt Ritchie,2,1,74,1312,19,482.7,285.4,218,98.6,8,53,461,Matt Ritchie,1321,1.510739537,2.345365051,26,32,4,0.749570664,2.739802847,1.418419342
Matt Targett,1,3,80,2291,40,432.9,503.8,130,106.9,5,43,884,Matt Targett,2305,0.393544301,3.29992317,7,29,4,0.393544301,7.988193564,6.494183116
Matteo Guendouzi,0,2,48,1744,31,235.1,333.6,146,71.6,3,41,5759,Matteo Guendouzi,1744,0.529899552,1.063303284,11,12,6,0.529899552,6.531605005,5.212480575
Matthew Longstaff,2,0,27,572,11,51.6,102.8,49,20.4,1,45,8016,Matthew Longstaff,564,0.696518209,0.189561309,4,3,1,0.696518209,1.106483337,0.250694547
Matthew Lowton,0,1,48,1530,31,181.7,294.2,15,49.2,6,42,1652,Matthew Lowton,1530,0.014243403,1.274649853,1,11,2,0.014243403,3.158141002,2.133144137
Max Meyer,0,0,23,645,11,68.9,68,103,23.8,1,52,338,Max Meyer,641,0.459280848,0.197999787,9,4,1,0.459280848,0.85634793,0.379644135
Maximillian Aarons,0,2,66,3240,71,385.2,566.6,237,119,5,42,7688,Max Aarons,3240,0.650880901,3.895117931,14,23,7,0.650880901,10.05500564,7.378263747
Maya Yoshida,0,0,10,558,18,3.7,96.8,77,17.7,1,41,845,Maya Yoshida,555,0.939902172,0.070446648,5,1,1,0.939902172,0.66534523,0.585985929
Mbwana Samatta,1,0,29,940,18,131.5,67.6,245,44.2,4,51,8287,Mbwana Samatta,962,2.527881511,0.311576586,17,9,1,2.527881511,3.418448895,1.347539343
Mesut �zil,1,3,53,1439,20,582.9,223.6,190,99.8,5,69,499,Mesut Özil,1472,1.70827345,2.287408385,9,37,1,1.70827345,8.399061233,6.210024692
Michael Keane,2,0,90,2556,42,80,666.4,204,95.2,7,52,1653,Michael Keane,2550,2.021645652,0.669338237,14,6,3,2.021645652,5.468895569,4.870126873
Michael Obafemi,3,2,45,655,12,130.7,170.8,235,53.4,3,49,6504,Michael Obafemi,654,2.154612448,1.225346729,12,10,1,2.154612448,2.883793211,0.515165487
Michail Antonio,10,4,111,1767,30,377.4,552.8,1094,201.7,3,71,531,Michail Antonio,1767,13.24954917,3.921495376,68,26,3,12.48838033,13.95970739,2.270155581
Miguel Almir�n,4,2,109,3020,48,450.2,481.6,750,168,12,58,7420,Miguel Almirón,3063,7.755137665,2.901229421,55,31,5,7.755137665,13.8757096,3.989844505
Mohamed Salah,19,10,233,2879,26,834.8,1061.2,2156,405.1,16,125,1250,Mohamed Salah,2904,20.6633187,8.726042524,132,60,1,18.37981213,31.37419793,8.425026853
Moise Kean,2,2,53,830,15,136.5,153.6,429,71.1,1,63,1304,Moise Kean,783,4.140312345,2.337308671,30,10,1,4.140312345,6.865808516,1.085837044
Morgan Schneiderlin,0,0,18,998,20,78.5,143.2,32,25.5,1,44,551,Morgan Schneiderlin,1014,0.33733923,0.128483865,6,4,4,0.33733923,3.29388931,3.029687347
Moritz Leitner,0,0,16,683,16,127.7,106.8,53,28.8,1,43,1217,Moritz Leitner,689,0.217812099,0.363968546,8,7,1,0.217812099,4.27574962,3.830889788
Moussa Djenepo,2,2,40,920,14,153.4,224.4,252,62.9,2,52,7701,Moussa Djenepo,920,2.240286709,2.051112972,20,11,4,2.240286709,5.601651658,2.570022599
Moussa Sissoko,2,1,69,2451,31,275.7,346,189,81,7,48,772,Moussa Sissoko,2466,2.539252415,1.695646325,15,16,8,2.539252415,8.974991187,5.875649888
Nabil Bentaleb,0,0,19,747,16,101,104.6,20,22.5,2,47,914,Nabil Bentaleb,750,0.061912496,0.195301443,4,8,2,0.061912496,1.951648861,1.763133751
Naby Keita,2,3,52,806,8,234.7,281.8,169,68.7,5,58,5247,Naby Keita,812,1.72337391,3.215543868,12,15,1,1.72337391,9.588453019,5.729767522
Nathan Ak�,2,2,79,2503,46,92.7,691.2,326,111,4,48,579,Nathan Aké,2503,3.051247042,1.962919146,25,7,2,3.051247042,3.545500601,2.957154842
Nathan Redmond,4,4,107,2763,51,539.1,517.2,752,181.2,7,62,790,Nathan Redmond,2781,5.287322389,3.624410872,59,38,2,5.287322389,13.67461494,6.087857706
Nathaniel Chalobah,0,1,36,919,14,130.3,162.2,55,34.5,2,44,1677,Nathaniel Chalobah,915,0.498691982,1.616138004,9,9,1,0.498691982,2.396554895,1.413669633
Neal Maupay,10,3,131,2763,36,369.2,518.6,1519,240.5,8,57,3621,Neal Maupay,2782,13.55854326,2.50613138,96,25,3,12.03620561,13.85504301,3.483616909
Neil Taylor,0,0,22,1088,25,79.7,157.6,29,26.7,2,42,710,Neil Taylor,1085,0.126853712,0.470634729,3,5,2,0.126853712,2.888129717,2.387244208
Nemanja Matic,0,2,55,1578,13,250.3,357.4,53,66.2,10,48,697,Nemanja Matic,1586,0.234302808,0.894650754,7,15,2,0.234302808,9.277427122,8.34947345
N'Golo Kant�,3,0,57,1730,25,424.5,422.8,214,106.3,3,50,751,N&#039;Golo Kanté,1733,1.543912956,1.520271977,18,27,4,1.543912956,7.209238461,4.837984517
Nick Pope,0,0,170,3420,50,30.3,900,2,93.1,15,52,5552,Nick Pope,3420,0,0.199706264,0,3,1,0,2.249560819,2.087928255
Nicolas P�p�,5,6,106,2004,30,639.4,500.2,624,176.5,5,89,611,Nicolás Otamendi,1705,2.054820953,0.177584189,15,4,3,2.054820953,10.63932938,10.6018526
Nicol�s Otamendi,2,1,82,1710,21,65.5,443.6,319,82.7,7,48,5656,Nicolas Pepe,2021,5.069305271,4.904219791,50,39,4,4.308136463,10.92423006,4.814494099
Oleksandr Zinchenko,0,0,49,1271,15,375.8,232,102,71.2,6,52,2958,Oleksandr Zinchenko,1265,0.477002002,2.093007034,16,20,0,0.477002002,10.34460018,9.809206281
Oliver McBurnie,6,1,86,2105,25,186.9,424.4,830,143.7,9,55,1736,Oliver McBurnie,2123,8.068319182,1.135003555,50,10,4,8.068319182,10.19457241,3.94750442
Oliver Norwood,1,3,98,3089,36,808.8,608.4,100,151.8,13,47,7710,Oliver Norwood,3119,1.338301325,3.879922425,17,49,8,0.577132502,9.95460359,9.053664204
Olivier Giroud,8,1,68,988,16,144.8,316.2,598,105.4,6,67,502,Olivier Giroud,1015,7.400897581,1.388366647,39,8,1,7.400897581,9.754190691,2.356766097
Ondrej Duda,0,1,24,723,9,261.6,115.8,105,48.3,3,44,5240,Ondrej Duda,737,0.531972069,1.533667382,10,16,0,0.531972069,1.988604669,1.073986618
Onel Hern�ndez,1,2,52,1374,32,235.5,227.2,445,90.5,1,53,7697,Onel Hernández,1377,1.912150758,0.916231917,29,20,0,1.912150758,3.505056273,0.898457749
Oriol Romeu Vidal,0,0,51,1855,38,272.9,333.2,69,67.6,5,43,842,Oriol Romeu,1865,0.197261868,1.717230167,8,19,5,0.197261868,4.205227051,3.239068473
Pablo Fornals,2,6,93,2167,35,359.7,350.4,381,109.2,6,60,2335,Pablo Fornals,2190,2.643427435,2.299053127,36,19,3,2.643427435,7.556359051,4.66950362
Pablo Zabaleta,0,0,10,588,14,50.5,110.4,12,17.4,0,41,610,Pablo Zabaleta,585,0,0.602839664,0,3,2,0,2.176807106,2.176807106
Pascal Gro�,2,5,76,1791,32,908.5,388.2,323,161.6,3,62,239,Pascal Groß,1812,1.456096993,5.954704691,29,59,4,1.456096993,8.312001303,6.019404186
Patrick van Aanholt,3,2,109,2507,38,516,531.2,285,133.4,8,56,730,Patrick van Aanholt,2517,2.040342808,3.554437162,27,32,0,1.27917397,5.900496691,4.38724837
Paul Dummett,0,0,44,1227,20,63.1,265.2,50,37.7,5,43,853,Paul Dummett,1229,0.024163909,0.198086363,2,4,2,0.024163909,1.695327315,1.570717792
Paul Pogba,1,4,51,1202,9,420,295.8,193,91,6,83,1740,Paul Pogba,1206,2.150869158,3.056191713,22,30,1,1.3897003,8.765662774,7.231568899
Paulo Gazzaniga,0,0,58,1612,26,10,449.8,0,46.1,2,41,973,Paulo Gazzaniga,1612,0,0.40006125,0,1,1,0,2.299613006,1.899551746
Pedro Lomba Neto,3,3,57,920,12,232,227.8,260,71.8,1,49,6382,Pedro Neto,911,1.89344776,2.62621755,17,14,3,1.89344776,7.689651545,4.652863253
Pedro Rodr�guez Ledesma,1,2,32,659,12,227.1,161.4,349,73.8,2,68,687,Pedro,661,2.472474996,1.070755158,22,17,1,2.472474996,4.754026404,1.556944458
Phil Bardsley,0,2,78,1890,19,164,350.6,109,62.5,9,44,857,Phil Bardsley,1890,0.290977373,1.579568287,11,9,6,0.290977373,3.418901121,1.851011215
Phil Foden,5,2,69,888,7,301.6,312.2,466,108.1,4,55,6055,Phil Foden,888,3.556829678,1.559080383,34,18,0,3.556829678,9.372164931,5.848771423
Philip Billing,1,1,68,2526,41,239.8,545.4,342,112.9,5,49,6034,Philip Billing,2542,2.274695073,1.434430819,33,15,8,2.274695073,6.9989503,5.092857507
Pierre-Emerick Aubameyang,22,5,205,3136,44,479.6,1006,1369,285.2,10,109,318,Pierre-Emerick Aubameyang,3143,16.35262308,4.492486916,93,26,3,14.83035899,19.96428204,5.339657471
Pierre-Emile H�jbjerg,0,3,75,2750,51,469,493,368,133.1,7,48,343,Pierre-Emile Højbjerg,2740,3.178929548,1.859895162,46,30,5,3.178929548,11.66362042,8.348503056
Raheem Sterling,20,6,204,2651,31,751.3,921.6,1829,350.2,13,120,618,Raheem Sterling,2678,19.79990648,7.208586285,100,48,5,18.27756875,31.44201034,10.1859974
Ra�l Jim�nez,17,7,194,3241,36,668.2,911.6,1680,325.4,15,80,6856,Rúben Vinagre,625,0.287852935,0.61947776,5,4,1,0.287852935,2.434099624,1.959365288
Reece James,0,2,61,1510,23,428.8,343.6,143,91.8,5,49,8067,Reece James,1512,0.819267087,3.181412563,18,25,1,0.819267087,7.329804063,6.209257852
Reiss Nelson,1,1,30,622,7,148.3,110.4,185,44.4,2,53,6492,Reiss Nelson,621,1.273586929,0.362936071,11,9,1,1.273586929,1.928011604,0.75988852
R�ben Diogo da Silva Neves,2,2,97,3053,35,445.4,538.6,307,129.1,13,52,4105,Raúl Jiménez,3269,16.51079802,7.226940844,117,48,3,13.46612261,22.56023952,5.70953264
R�ben Gon�alo Silva Nascimento Vinagre,0,0,32,644,6,96.2,130.4,56,28.1,3,41,6853,Rúben Neves,3081,1.638083691,2.606093884,61,29,9,1.638083691,13.92579463,11.20146191
Ricardo Domingos Barbosa Pereira,3,2,123,2520,27,446.5,738,235,141.9,10,62,3303,Ricardo Pereira,2520,1.265233166,4.018951585,18,27,1,1.265233166,11.05981785,8.115902204
Richarlison de Andrade,13,5,165,3070,51,478.1,814.6,1233,252.3,9,82,6026,Richarlison,3100,9.842966288,6.668134376,89,34,8,9.842966288,16.45974978,5.198306467
Riyad Mahrez,11,14,175,1934,15,885.8,814.2,1094,279.5,10,86,750,Riyad Mahrez,1938,8.649655679,11.0598491,74,60,0,7.888486816,27.76552989,13.28588094
Rob Holding,0,0,16,580,9,4.8,133.6,19,15.8,1,44,1749,Rob Holding,576,0.109356366,0,2,0,1,0.109356366,0.44364161,0.44364161
Robbie Brady,1,2,32,445,10,102.1,118.6,128,34.9,1,55,789,Robbie Brady,436,0.996500198,0.317549739,12,9,1,0.996500198,1.495762873,0.888665825
Robert Snodgrass,5,5,87,1504,33,552.1,422.2,320,129.7,3,50,1691,Robert Snodgrass,1522,2.386507551,3.732901038,21,33,4,2.386507551,6.512247741,3.524154721
Roberto Firmino,9,9,155,2985,26,703,733.6,1638,307.5,16,93,482,Roberto Firmino,3035,16.68622903,7.346656004,98,52,0,16.68622903,28.27110092,9.463312279
Roberto Jimenez Gago,0,0,18,686,17,0,239,0,23.9,0,44,5087,Roberto Jiménez,687,0,0,0,0,0,0,0.122903097,0.122903097
Roberto Pereyra,3,0,60,1641,27,293.4,237.8,350,88,5,56,1723,Roberto Pereyra,1656,3.146885926,1.360024405,21,20,4,2.385717059,4.776893117,1.625991831
Rodrigo Hernandez,3,2,92,2480,27,532.6,599.2,193,132.3,14,53,2496,Rodri,2488,0.744079132,2.910293031,24,33,8,0.744079132,22.69725015,21.21717443
Romain Sa�ss,2,2,103,2703,34,160.7,621.2,298,108.1,10,47,3491,Romain Saiss,2702,3.669838863,1.232471075,23,12,10,3.669838863,10.52178424,9.557376709
Ross Barkley,1,5,61,1095,14,344.3,266,373,98.2,5,56,592,Ross Barkley,1100,2.844964333,2.860243557,40,24,0,2.844964333,10.34183406,6.369961686
Rui Pedro dos Santos Patr�cio,0,0,153,3420,40,0,741,0,74.3,13,53,6849,Rui Patrício,3420,0,0,0,0,0,0,2.798100628,2.798100628
Ryan Bennett,0,0,32,932,17,41,161.4,16,21.8,3,48,787,Ryan Bennett,941,0.023915293,0.090542471,1,2,2,0.023915293,2.269687807,2.179145319
Ryan Bertrand,1,1,75,2742,52,538.5,436.8,234,121.1,7,48,835,Ryan Bertrand,2742,2.061922902,3.522444122,19,30,3,2.061922902,8.074736882,5.929432241
Ryan Fraser,1,5,73,2061,34,627.1,355.6,440,141.9,4,68,1683,Ryan Fraser,2054,3.464270564,3.600613408,27,44,2,3.464270564,9.423755504,4.503551122
Ryan Fredericks,0,3,74,2235,39,333.7,491.2,76,90.5,7,44,6891,Ryan Fredericks,2236,0.127229913,2.988232175,3,22,7,0.127229913,6.535195041,5.442850385
Ryan Sessegnon,0,0,9,341,5,39.9,45.4,34,11.9,0,54,6837,Ryan Sessegnon,341,0.092631869,0.04794934,1,2,0,0.092631869,0.525665015,0.401522592
Sadio Man�,18,10,221,2745,28,826.6,1010.2,1239,307.7,12,121,838,Sadio Mané,2761,14.5774829,7.235693477,77,59,3,14.5774829,25.0732052,6.767014004
Sam Byram,0,0,32,1292,23,109.2,273.2,218,60.2,3,43,902,Sam Byram,1292,2.1922906,0.362093257,15,6,4,2.1922906,2.703712672,1.785952821
Sander Berge,1,1,40,943,11,66,152.4,82,30.3,4,47,8285,Sander Berge,957,0.600753397,0.714387499,5,2,0,0.600753397,2.358915487,1.210157955
Scott Dann,0,1,51,1264,14,58.3,250.2,177,48.6,5,43,512,Scott Dann,1263,0.470208034,0.357471921,8,5,0,0.470208034,1.343574991,1.24332051
Scott McTominay,3,2,74,1765,20,238.4,415.6,310,96.4,3,48,5560,Scott McTominay,1771,2.021982869,1.431213997,29,16,2,2.021982869,5.719030224,4.453569738
Sead Kolasinac,0,2,55,1694,26,182.5,269.6,81,53,4,52,342,Sead Kolasinac,1687,0.254988368,1.334303726,4,10,4,0.254988368,8.028099369,7.041231651
Seamus Coleman,0,1,55,1833,29,149,321.2,175,64.6,5,53,585,Seamus Coleman,1847,0.849416483,1.51880146,8,9,3,0.849416483,6.014101095,4.155801463
Sean Longstaff,1,2,44,1370,26,217.1,235.8,155,60.8,2,50,7078,Sean Longstaff,1354,1.177616231,0.933659235,25,15,2,1.177616231,2.805940805,2.136907784
Serge Aurier,1,7,124,2699,33,508.1,655.2,252,141.6,9,51,3600,Serge Aurier,2716,0.484774435,3.602312015,13,33,2,0.484774435,10.13218842,6.796362123
Sergio Ag�ero,16,6,132,1449,18,256.4,641.2,1188,208.2,5,116,619,Sergio Agüero,1462,15.55750033,2.92020883,76,19,1,13.27403068,16.878254,2.644766173
Shane Duffy,1,0,44,1232,18,29.8,288,100,41.8,3,48,6047,Shane Duffy,1226,1.256109475,0.134076677,7,2,2,1.256109475,2.052322952,1.914412258
Shane Long,2,3,62,1386,20,264.8,190.8,536,99.4,5,46,839,Shane Long,1403,4.529592359,2.581097551,33,20,0,4.529592359,5.49615946,0.839786405
Shkodran Mustafi,0,2,43,1205,17,45.5,277.2,155,47.9,4,51,1699,Shkodran Mustafi,1208,0.56802573,0.575872842,11,3,2,0.56802573,4.499947272,3.967217229
S�bastien Haller,7,3,102,2259,41,354.5,450.4,1012,180.9,5,68,6144,Sébastien Haller,2248,8.484900782,2.34311852,57,24,1,8.484900782,11.10297738,2.639706139
Simon Francis,0,0,16,964,21,64.4,263.8,72,40.2,1,43,456,Simon Francis,956,0.154519947,0.421538654,3,4,3,0.154519947,1.762463287,1.679096295
Sofiane Boufal,0,3,34,753,17,203.7,149.4,267,62,1,55,1734,Sofiane Boufal,746,1.014551141,2.698258985,18,15,2,1.014551141,6.150288098,3.549865828
Sokratis Papastathopoulos,2,0,57,1696,25,36.8,436.2,110,58.5,4,48,371,Sokratis,1698,1.450504782,0.752975643,7,2,6,1.450504782,4.342151602,4.342151602
Solomon March,0,1,38,1139,15,239.6,189.4,274,70.4,4,46,6049,Solly March,1132,1.466960359,1.106579943,20,13,2,1.466960359,4.376131753,2.265023034
Steve Cook,1,0,52,2427,48,51.5,557.2,159,77.2,3,50,458,Steve Cook,2431,0.619080873,0.696019074,12,4,6,0.619080873,3.923743866,3.797908239
