id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
755,Jamie Vardy,3034,18.903537318110466,6.3682975601404905,89,32,3,15.097693115472794,21.02660731226206,1.7243406660854816
318,Pierre-Emerick Aubameyang,3143,16.352623080834746,4.492486916482449,93,26,3,14.830358987674117,19.964282035827637,5.339657470583916
986,Danny Ings,2836,15.659717170521617,2.8490850934758782,93,35,3,14.137379484251142,18.48803149908781,5.015938125550747
618,Raheem Sterling,2678,19.799906481057405,7.208586284890771,100,48,5,18.277568746358156,31.4420103430748,10.185997404158115
1250,Mohamed Salah,2904,20.66331870108843,8.72604252398014,132,60,1,18.379812128841877,31.37419793009758,8.42502685263753
647,Harry Kane,2595,13.297065950930119,3.1170063093304634,82,27,4,11.77476505190134,16.854615883901715,3.0513013089075685
838,Sadio Mané,2761,14.577482901513577,7.235693477094173,77,59,3,14.577482901513577,25.073205202817917,6.767014004290104
553,Anthony Martial,2672,13.240494780242443,4.6187766548246145,80,30,1,12.47932606190443,20.409563187509775,6.357817467302084
556,Marcus Rashford,2673,19.503727605566382,5.457172868773341,95,33,3,13.4144136775285,20.24479783885181,5.906573036685586
4105,Raúl Jiménez,3269,16.51079802401364,7.226940844208002,117,48,3,13.466122614219785,22.56023951806128,5.709532639943063
619,Sergio Agüero,1462,15.557500325143337,2.9202088303864002,76,19,1,13.274030677974224,16.878254003822803,2.644766173325479
702,Tammy Abraham,2233,18.082801550626755,2.9130481593310833,88,21,2,18.082801550626755,19.841919753700495,1.5461508873850107
447,Kevin De Bruyne,2818,8.106427835300565,20.62070693448186,100,133,3,6.58409016020596,37.79831072688103,19.244823712855577
4456,Chris Wood,2462,17.22620151937008,1.4709960892796516,65,22,1,16.4650327116251,12.64265088364482,2.45541091542691
5543,Gabriel Jesus,2022,21.015201296657324,3.598858255892992,101,32,3,20.2540324293077,27.652233857661486,7.18130973726511
5555,Dominic Calvert-Lewin,2639,16.109842916950583,1.3362248316407204,85,15,9,16.109842916950583,17.212499532848597,3.8967644218355417
6026,Richarlison,3100,9.84296628832817,6.66813437640667,89,34,8,9.84296628832817,16.459749782457948,5.1983064673841
453,Son Heung-Min,2511,9.70170486625284,6.721727088093758,81,41,0,8.940535909496248,18.800011694431305,6.514012955129147
750,Riyad Mahrez,1938,8.649655679240823,11.05984910018742,74,60,0,7.8884868156164885,27.76552989333868,13.28588094189763
7696,Teemu Pukki,2908,11.524345129728317,3.6190154179930687,80,30,3,10.002007439732552,14.751465763896704,2.368442302569747
531,Michail Antonio,1767,13.249549170956016,3.9214953761547804,68,26,3,12.488380333408713,13.959707390516996,2.270155580714345
574,Troy Deeney,2253,11.589193798601627,3.7357030231505632,45,29,3,7.022180713713169,11.632463542744517,3.33459750469774
3277,Alexandre Lacazette,1890,8.66464820317924,3.3422909155488014,52,24,8,8.66464820317924,12.061301652342081,2.5056346226483583
3621,Neal Maupay,2782,13.558543261140585,2.50613137986511,96,25,3,12.036205606535077,13.85504301264882,3.4836169090121984
7490,Mason Greenwood,1304,3.387857362627983,1.4115077937021852,39,14,0,3.387857362627983,8.516980450600386,4.284458378329873
482,Roberto Firmino,3035,16.686229031533003,7.3466560039669275,98,52,0,16.686229031533003,28.271100923419,9.463312279433012
672,Jordan Ayew,3196,7.676179042086005,2.864641923457384,58,30,6,7.676179042086005,11.721330039203167,3.8773922603577375
700,Willian,2609,8.135337460786104,8.679427238181233,71,76,4,5.0906621143221855,18.40935368090868,10.227612223476171
2662,Christian Pulisic,1738,8.925186410546303,4.29607973434031,63,30,0,8.925186410546303,16.746663495898247,7.069776656106114
468,Callum Wilson,2916,9.842873975634575,3.349536281079054,53,30,10,9.842873975634575,12.562949229031801,2.7078363643959165
502,Olivier Giroud,1015,7.400897581130266,1.3883666470646858,39,8,1,7.400897581130266,9.754190690815449,2.3567660972476006
645,Dele Alli,1862,7.915494641289115,3.4838604610413313,42,23,2,7.15432577393949,16.530975185334682,6.692906078882515
675,Jack Grealish,3235,6.844703698530793,7.637995328754187,73,92,8,6.08353484608233,18.373641669750214,9.304536566138268
770,Ayoze Pérez,2045,6.557796832174063,4.091643614694476,47,28,0,5.7966279946267605,12.850322676822543,4.473776834085584
844,Jay Rodriguez,1987,8.956882773898542,0.768310897052288,67,6,1,8.195713876746595,7.035942082293332,1.2578966859728098
1228,Bruno Fernandes,1211,5.986080504953861,2.755000274628401,44,30,2,2.9414419010281563,8.513760548084974,4.86424545198679
5596,Harry Wilson,1672,4.165000810287893,2.2177436221390963,56,14,2,4.165000810287893,7.921821791678667,4.21072705835104
6144,Sébastien Haller,2248,8.48490078188479,2.3431185195222497,57,24,1,8.48490078188479,11.102977383881807,2.639706138521433
6854,Diogo Jota,2329,12.017675075680017,2.6425623558461666,69,29,4,12.017675075680017,16.149932712316513,4.098007360473275
7768,Mason Mount,2894,7.497830409556627,5.258456766605377,78,52,3,7.497830409556627,16.87500463053584,8.520663106814027
465,Joshua King,2033,6.534089729189873,4.133098684251308,26,30,0,4.250657398253679,8.3733511865139,3.021743079647422
769,Jonjo Shelvey,2136,2.2422137800604105,4.1416122782975435,45,44,3,2.2422137800604105,7.4871279345825315,4.892644166946411
1736,Oliver McBurnie,2123,8.068319181911647,1.13500355463475,50,10,4,8.068319181911647,10.19457240961492,3.9475044198334217
1748,Lys Mousset,1220,6.072983540594578,3.612106991931796,37,12,1,6.072983540594578,9.62127878330648,2.463755715638399
3635,Bernardo Silva,2020,7.4203405529260635,6.312828656286001,52,51,5,7.4203405529260635,23.83779612928629,14.72735245898366
4422,Ashley Barnes,1386,6.516927354037762,0.3088205009698868,40,5,4,5.755758501589298,5.060966618359089,1.5740792136639357
6681,Harvey Barnes,2094,8.48061983473599,4.085434272885323,61,35,0,8.48061983473599,17.09378569200635,6.487783459946513
6818,James Maddison,2632,5.0217749159783125,5.768516240641475,74,79,4,5.0217749159783125,14.379001699388027,8.763976752758026
7695,Todd Cantwell,2528,5.67504897993058,2.318530723452568,42,36,6,5.67504897993058,11.005102287046611,3.805257322266698
7722,Trézéguet,1955,5.345049157738686,0.958256496116519,50,21,2,5.345049157738686,6.641214985400438,2.6114314906299114
617,David Silva,1846,6.93236867710948,7.6509875394403934,46,49,0,6.93236867710948,24.68700398504734,12.764220461249352
620,Kelechi Iheanacho,976,5.901271570473909,2.588645750656724,36,15,1,5.901271570473909,8.9800880625844,1.3327805418521166
833,Virgil van Dijk,3420,2.9578161910176277,1.1334363408386707,31,7,1,2.9578161910176277,15.309704806655645,14.673714911565185
843,James Ward-Prowse,3420,7.061390930786729,5.7615474704653025,57,61,9,4.777884328737855,13.29220021981746,9.146257374435663
1691,Robert Snodgrass,1522,2.3865075511857867,3.732901037670672,21,33,4,2.3865075511857867,6.512247741222382,3.524154720827937
5656,Nicolas Pepe,2021,5.069305270910263,4.904219791293144,50,39,4,4.308136463165283,10.924230057746172,4.814494099467993
5675,Ismaila Sarr,2038,5.96819850243628,4.351109144277871,43,25,1,5.96819850243628,11.652336601167917,3.3667894434183836
6055,Phil Foden,888,3.5568296778947115,1.559080382809043,34,18,0,3.5568296778947115,9.37216493114829,5.848771423101425
6274,Andriy Yarmolenko,979,2.6255949772894382,3.426018500700593,26,19,2,2.6255949772894382,6.919684391468763,1.9625784363597631
6893,Stuart Armstrong,1711,3.1144408900290728,2.0096526043489575,46,18,4,3.1144408900290728,7.9727021176368,3.8451918475329876
7698,Leandro Trossard,2018,5.35430202446878,4.625110670924187,41,42,0,5.35430202446878,12.011704009026289,4.779169330373406
